cycle,name,latent_period
202,Residents22,3
475,Residents139,7
526,Residents140,4
655,Residents138,7
672,Residents100,3
677,Residents123,5
698,Residents50,4
699,Staff33,8
701,Residents48,3
744,Staff12,4
749,Residents69,3
749,Residents87,5
761,Residents99,8
762,Residents89,3
783,Residents35,6
798,Residents49,6
800,Staff48,6
805,Residents124,3
816,Staff76,8
826,Staff124,2
829,Residents97,6
831,Residents4,6
831,Staff6,9
835,Staff89,4
836,Residents71,3
838,Residents125,6
839,Residents126,6
861,Residents29,2
889,Residents44,8
893,Residents13,4
893,Residents52,2
914,Residents28,8
919,Staff25,2
920,Residents70,4
938,Residents131,3
939,Residents151,3
961,Residents94,2
985,Residents146,4
986,Residents169,4
990,Residents147,2
992,Residents30,7
1000,Residents152,6
1007,Residents113,7
1010,Residents127,2
1012,Residents128,2
1019,Residents170,3
1023,Residents34,2
1040,Residents154,3
1043,Residents162,2
1052,Residents148,7
1053,Residents93,3
1123,Residents78,6
1145,Residents144,4
1148,Staff24,6
1186,Residents101,4
1187,Residents81,7
1190,Residents155,2
1211,Residents80,5
1218,Staff13,2
1227,Staff119,6
1264,Staff57,7
1344,Residents40,4
1416,Staff43,4
1433,Residents120,8
1465,Residents165,7
1480,Residents56,4
1502,Residents19,7
1504,Staff115,2
1531,Residents142,3
1589,Residents55,7
1614,Residents59,5
1614,Residents96,4
1665,Residents121,4
1970,Residents91,3
2069,Staff103,5
2187,Residents92,8
