cycle,name,latent_period
290,Staff35,3
964,Staff144,9
981,Staff155,8
1082,Residents1,5
1105,Residents54,3
1120,Residents55,7
1125,Residents57,3
1201,Staff40,5
1219,Residents56,2
1241,Residents59,5
1250,Staff5,3
1269,Residents131,5
1305,Residents61,5
1313,Residents43,3
1325,Residents60,7
1325,Staff6,5
1337,Staff154,3
1341,Residents42,9
1370,Residents130,3
1377,Residents62,2
1383,Residents44,6
1390,Residents63,6
1448,Residents107,2
1454,Residents143,3
1459,Residents72,5
1502,Residents26,2
1507,Staff119,6
1510,Residents104,2
1563,Residents65,8
1570,Residents20,4
1580,Residents19,7
1581,Residents102,6
1631,Residents21,8
1657,Staff145,5
1680,Staff167,9
1806,Residents106,9
2069,Staff118,2
2089,Staff15,9
2138,Staff0,4
2142,Residents83,6
2144,Residents116,3
2151,Residents82,3
2168,Residents114,6
2201,Residents81,3
2218,Residents115,2
2319,Residents124,9
2619,Residents155,3
2637,Residents170,5
2703,Residents154,3
2724,Residents10,6
2751,Residents153,5
2764,Residents168,5
2794,Residents166,4
2828,Staff36,8
2833,Residents173,5
2850,Residents164,3
2866,Residents171,4
2890,Residents75,4
2934,Residents76,3
2941,Residents162,2
2963,Residents165,3
2994,Residents77,5
3040,Residents167,3
3089,Staff106,4
3114,Staff49,5
