cycle,name,latent_period
148,Residents119,7
165,Residents118,4
207,Residents74,6
279,Residents117,8
489,Staff119,4
633,Residents170,3
703,Residents100,2
713,Residents99,2
797,Residents153,3
839,Staff17,2
870,Residents102,2
896,Residents105,4
905,Residents155,6
948,Residents164,2
957,Residents146,5
1004,Residents107,9
1005,Residents147,8
1033,Residents103,6
1053,Residents154,9
1106,Residents150,2
1144,Staff42,3
1231,Residents106,7
1328,Residents124,2
1435,Staff139,2
1795,Residents98,3
