cycle,name,latent_period
23,Staff22,4
47,Staff138,3
122,Staff83,2
308,Staff72,7
316,Staff95,6
350,Residents43,9
680,Staff140,9
861,Residents28,5
921,Staff33,7
996,Staff7,2
1072,Residents29,5
1190,Residents165,2
1251,Residents103,4
1293,Residents126,9
1311,Staff91,5
1342,Residents40,6
1362,Residents37,4
1365,Staff8,4
1405,Residents117,5
1412,Residents12,6
1452,Residents47,4
1459,Residents38,7
1485,Residents161,5
1515,Residents36,6
1519,Residents114,3
1630,Residents116,8
1633,Residents45,6
1716,Staff71,5
1760,Residents122,2
1778,Staff45,3
1832,Staff23,4
1848,Staff27,6
1996,Staff124,4
