cycle,name,latent_period
170,Residents126,2
193,Residents128,2
282,Staff29,2
286,Residents55,5
330,Staff80,2
331,Residents59,2
490,Residents7,4
587,Residents8,2
674,Residents106,3
678,Residents144,3
690,Residents105,8
816,Residents167,4
861,Staff155,3
904,Staff103,6
1003,Residents97,6
1010,Residents99,2
1033,Residents101,8
1074,Residents100,9
1103,Staff69,3
1171,Staff147,8
1181,Residents68,3
1196,Staff143,3
1212,Residents93,2
1214,Residents159,7
1221,Residents158,2
1283,Residents62,6
1283,Residents71,3
1294,Residents94,2
1305,Residents112,3
1327,Residents95,2
1328,Residents157,4
1350,Residents156,7
1360,Residents84,3
1382,Residents124,6
1398,Residents171,3
1452,Residents161,6
1481,Residents0,4
1487,Residents113,5
1488,Residents151,3
1495,Residents61,4
1504,Residents120,6
1510,Residents15,6
1535,Residents2,3
1539,Staff38,3
1557,Staff154,2
1583,Residents152,7
1588,Residents121,5
1606,Residents154,8
1607,Residents60,7
1666,Residents146,5
1680,Residents90,5
1682,Residents67,2
1724,Residents170,2
1788,Residents47,3
1858,Residents166,2
1864,Residents91,4
1925,Staff84,8
1925,Staff46,7
1971,Residents142,2
2070,Residents41,5
2163,Staff33,9
2211,Staff161,7
2235,Staff78,4
2237,Residents34,4
2269,Residents69,3
2281,Residents39,2
2285,Staff106,6
2354,Staff57,7
2355,Residents79,3
2404,Staff1,4
2460,Residents12,8
2506,Residents96,8
2517,Residents57,7
2589,Staff41,3
2615,Residents125,3
2719,Residents98,6
3002,Staff141,2
