cycle,name,latent_period
98,Residents112,3
242,Staff119,3
264,Staff41,7
269,Staff42,2
288,Residents169,5
289,Residents136,2
299,Residents135,3
349,Residents137,2
394,Residents90,7
420,Residents163,9
420,Residents162,2
445,Residents168,5
473,Residents164,3
475,Residents155,7
484,Staff122,7
489,Residents35,9
506,Residents33,9
529,Residents30,2
530,Residents32,4
603,Staff74,8
627,Residents74,8
630,Residents100,7
657,Residents97,2
658,Residents72,8
663,Residents99,6
671,Residents76,3
672,Staff28,7
679,Residents167,2
691,Residents104,2
696,Staff86,9
698,Residents84,8
722,Residents105,5
723,Staff116,9
724,Staff131,8
733,Residents43,9
736,Residents7,4
736,Residents166,6
743,Residents102,2
749,Staff145,2
753,Residents25,5
757,Staff54,5
769,Residents165,9
777,Staff163,4
782,Residents134,8
802,Residents8,4
824,Staff32,2
827,Residents150,7
833,Residents53,3
842,Residents89,3
848,Residents44,3
852,Residents101,3
862,Residents172,3
864,Staff53,2
865,Residents132,7
867,Residents91,4
868,Residents6,8
872,Residents24,8
882,Residents124,6
929,Residents42,3
959,Residents173,3
968,Residents51,9
998,Residents85,6
1080,Residents5,2
1098,Staff77,2
1142,Residents4,2
1210,Residents116,9
1253,Staff75,4
1266,Residents118,7
1286,Residents117,4
1299,Staff63,6
1309,Residents160,4
1312,Residents78,3
1322,Staff15,6
1341,Residents138,4
1360,Residents130,4
1399,Residents159,4
1403,Residents39,8
1403,Residents54,9
1437,Residents80,8
1477,Residents126,6
1487,Residents129,6
1500,Residents71,3
1541,Residents154,7
1586,Residents170,4
1865,Residents50,2
1865,Residents67,2
1917,Staff104,5
1937,Residents49,7
1943,Residents95,2
1961,Residents48,2
1972,Residents93,3
2128,Residents103,4
