cycle,name,latent_period
91,Residents10,6
115,Residents93,9
141,Staff76,3
331,Residents91,9
359,Residents126,5
371,Residents95,7
485,Residents127,2
494,Residents128,6
565,Staff67,3
984,Staff82,2
1178,Staff17,6
1235,Residents145,9
1300,Residents144,2
1307,Residents35,6
1379,Residents48,4
1393,Residents34,4
1398,Residents155,6
1412,Residents33,2
1462,Residents146,3
1548,Residents51,5
1583,Residents30,8
1628,Residents166,5
1635,Residents158,7
1637,Residents29,2
1666,Residents92,3
1691,Residents165,4
1699,Staff137,2
1781,Residents167,2
1845,Staff63,5
2289,Residents19,6
2745,Residents12,2
2779,Staff62,9
2787,Residents143,6
2867,Residents13,4
3067,Staff5,3
3280,Staff13,2
