cycle,name,latent_period
42,Residents22,8
164,Residents95,5
285,Residents67,4
475,Residents69,2
592,Residents73,3
634,Residents71,3
643,Staff95,2
644,Staff23,4
686,Residents72,3
861,Staff33,4
883,Residents90,9
895,Residents84,4
898,Residents87,2
904,Residents80,9
911,Residents89,2
939,Residents79,8
944,Residents88,3
971,Residents64,2
972,Residents153,2
975,Residents78,3
981,Residents152,5
983,Residents31,5
1002,Residents60,2
1005,Residents150,3
1005,Residents154,4
1136,Residents65,2
1154,Staff44,3
1307,Residents98,8
1466,Residents32,5
