cycle,name,latent_period
123,Staff99,5
245,Residents61,4
364,Residents62,2
466,Residents60,4
589,Residents23,9
624,Residents18,3
645,Residents19,2
703,Residents20,6
955,Residents70,4
1025,Residents66,6
1284,Residents80,8
1286,Residents169,2
1288,Residents89,4
1297,Residents156,7
1321,Staff2,8
1329,Residents83,3
1331,Residents170,3
1350,Residents158,2
1355,Residents162,9
1390,Residents168,5
1440,Staff147,6
1481,Staff13,4
1493,Staff90,6
1501,Residents76,2
1513,Residents78,6
1541,Staff129,8
1549,Residents160,9
1552,Residents91,5
1562,Residents72,7
1580,Residents164,2
1631,Residents155,3
1673,Residents65,9
1700,Residents69,3
1700,Residents63,8
1701,Residents163,5
1704,Residents157,5
1763,Residents26,3
1770,Residents159,4
1787,Residents9,4
1801,Residents161,6
1826,Residents71,2
1961,Staff149,4
1964,Residents37,5
1980,Residents84,7
2116,Staff95,5
2338,Staff15,2
2417,Staff24,4
2419,Residents149,5
2475,Staff40,3
2516,Residents144,3
2527,Residents7,6
2582,Residents6,6
2605,Staff153,5
2676,Residents8,9
2753,Residents46,3
2784,Residents49,2
2824,Staff161,4
2855,Residents50,9
2873,Residents47,7
2889,Residents173,2
2909,Residents45,9
2960,Residents43,6
3019,Residents154,4
3020,Residents22,4
3099,Residents24,6
3115,Staff14,9
3140,Staff152,5
3185,Residents3,2
3188,Staff85,6
3222,Residents5,2
3223,Residents14,5
3336,Staff70,2
3341,Staff131,2
3386,Residents4,9
