cycle,name,latent_period
39,Residents79,4
150,Residents78,8
488,Residents41,6
497,Residents39,3
605,Staff83,4
614,Residents164,9
626,Residents59,5
629,Residents58,9
630,Residents134,7
630,Residents150,3
631,Residents146,2
635,Residents153,3
658,Residents116,3
665,Residents133,6
674,Residents28,3
675,Residents0,2
681,Residents27,5
689,Residents144,4
702,Residents2,4
703,Residents40,4
715,Residents8,7
715,Residents31,7
720,Residents115,6
722,Residents154,4
736,Residents113,3
739,Residents81,6
748,Residents162,4
766,Residents155,4
786,Residents114,3
799,Staff14,9
801,Staff88,2
808,Staff16,8
811,Staff72,6
825,Residents6,7
835,Residents38,3
840,Residents16,7
843,Residents37,8
854,Residents142,6
856,Residents48,3
857,Residents112,8
863,Residents26,4
865,Residents12,6
866,Residents61,9
869,Residents120,4
870,Residents57,6
872,Residents83,2
893,Residents29,3
922,Residents87,2
929,Residents143,7
941,Staff18,6
943,Residents106,2
946,Residents36,2
965,Residents105,6
965,Residents128,2
973,Residents50,8
977,Residents126,6
980,Residents152,9
984,Residents173,4
1006,Residents171,3
1012,Residents88,6
1012,Residents140,2
1031,Residents107,7
1033,Residents123,5
1068,Residents127,6
1089,Residents7,4
1105,Staff2,6
1109,Residents131,2
1150,Residents157,3
1173,Residents43,6
1250,Staff71,3
1251,Residents44,4
1294,Residents25,3
1347,Residents122,6
1352,Residents42,7
1579,Staff27,4
