cycle,name,latent_period
27,Residents101,3
57,Residents99,8
103,Residents104,3
213,Staff64,6
241,Residents103,4
290,Residents68,6
295,Residents149,3
328,Residents7,4
352,Residents170,9
357,Residents168,2
412,Residents147,9
458,Residents66,2
463,Residents148,2
594,Staff124,9
616,Staff46,5
662,Residents17,8
667,Residents107,3
698,Residents102,5
712,Staff27,4
752,Residents117,3
763,Residents161,6
808,Residents95,4
808,Residents169,5
907,Residents15,2
909,Residents160,6
1026,Residents94,4
1032,Residents143,5
1075,Residents142,7
1148,Residents139,5
1288,Staff87,5
1373,Residents11,3
1463,Residents172,7
1541,Residents44,7
1642,Residents145,9
1691,Residents61,3
1719,Residents151,2
1725,Residents0,8
1729,Residents146,4
1741,Residents156,3
1750,Residents16,3
1770,Residents150,4
1777,Residents162,2
1778,Residents154,7
1816,Residents152,2
1821,Residents123,3
1822,Residents153,2
1841,Residents155,3
1989,Staff146,5
2058,Residents109,4
2103,Residents111,8
2180,Residents110,8
2201,Residents121,5
2299,Residents20,9
2307,Residents106,6
2325,Residents114,7
2347,Residents113,3
2563,Residents19,6
2640,Residents124,6
2741,Residents141,5
2825,Staff66,3
2962,Residents164,4
2968,Residents173,3
3012,Residents163,7
3157,Residents82,3
3164,Staff143,8
3234,Residents78,9
3335,Residents129,8
3577,Residents108,2
