cycle,name,latent_period
65,Residents164,9
173,Residents27,4
174,Residents29,2
269,Residents7,9
286,Residents28,8
288,Staff83,5
289,Staff89,2
336,Staff148,7
398,Residents121,7
417,Residents85,8
434,Residents35,7
437,Residents33,8
443,Residents38,4
452,Residents6,4
457,Staff78,3
458,Staff151,2
460,Staff10,5
461,Residents166,4
463,Residents172,3
466,Residents142,9
472,Residents45,7
484,Residents52,6
496,Residents138,4
507,Staff126,7
508,Residents11,2
518,Residents64,4
520,Residents97,5
521,Staff106,7
527,Residents160,7
544,Residents99,8
548,Residents46,7
550,Residents8,2
554,Residents173,2
555,Staff67,8
559,Residents34,9
561,Residents9,2
563,Residents2,3
566,Residents171,6
572,Residents101,8
588,Residents68,5
592,Residents159,3
610,Residents102,6
613,Residents84,8
629,Staff162,3
637,Residents86,2
643,Residents75,2
647,Residents66,6
648,Residents17,7
652,Residents81,8
696,Residents162,7
698,Residents161,3
748,Residents47,2
766,Residents100,5
797,Residents103,3
799,Residents48,3
833,Residents120,5
882,Staff150,3
888,Residents94,2
896,Residents83,2
898,Residents50,4
918,Residents71,2
937,Residents153,3
953,Residents95,8
955,Residents96,5
1030,Residents5,3
1050,Residents113,2
1051,Residents145,3
1071,Staff9,4
1132,Residents3,2
1150,Residents24,2
1161,Residents61,5
1163,Residents26,7
1168,Staff124,8
