cycle,name,latent_period
627,Residents12,3
663,Staff59,4
671,Residents139,2
699,Staff143,2
707,Residents142,3
712,Residents65,6
730,Staff93,5
757,Residents43,4
771,Staff145,8
773,Residents60,6
786,Residents45,7
795,Staff161,2
817,Residents44,9
820,Residents8,4
832,Staff131,4
835,Staff36,8
842,Residents170,4
853,Residents42,4
853,Residents46,4
863,Residents10,4
865,Residents47,3
872,Residents64,2
883,Residents40,2
891,Residents164,6
892,Residents149,2
902,Residents54,2
903,Residents49,9
912,Staff45,3
933,Residents171,6
940,Residents29,6
970,Residents172,5
974,Residents148,2
976,Residents39,7
984,Staff113,6
985,Residents121,4
997,Residents163,2
1011,Residents168,4
1017,Residents122,6
1024,Residents132,3
1029,Residents162,4
1030,Residents78,2
1038,Residents102,7
1061,Residents169,5
1108,Residents133,2
1128,Residents28,4
1142,Residents129,9
1151,Staff88,4
1153,Residents32,2
1154,Residents79,3
1156,Residents127,3
1165,Residents80,2
1211,Residents160,3
1212,Residents103,3
1218,Residents77,3
1227,Residents106,9
1234,Residents76,3
1256,Residents59,6
1266,Residents126,8
1274,Residents30,4
1288,Residents135,9
1298,Residents157,7
1328,Residents75,4
1348,Residents31,6
1376,Residents159,3
1395,Residents161,6
1467,Residents58,3
1492,Staff74,5
1506,Residents105,2
1515,Staff2,8
1552,Residents137,9
1563,Staff162,2
1571,Residents57,8
1571,Residents136,4
1592,Residents16,3
1645,Residents123,3
1700,Residents140,3
1733,Residents74,2
1779,Residents48,2
1824,Staff158,8
1887,Residents73,7
1901,Residents72,7
1964,Staff108,5
