cycle,name,latent_period
139,Residents162,8
151,Residents25,2
158,Residents34,3
159,Residents153,3
161,Staff42,4
182,Residents154,7
223,Residents26,8
257,Staff94,2
307,Staff82,2
309,Staff76,4
329,Staff139,4
339,Residents164,4
360,Residents155,9
360,Residents166,3
402,Residents65,3
405,Residents17,8
422,Residents1,8
434,Residents16,2
444,Residents96,3
447,Residents150,5
470,Residents63,7
473,Staff15,3
480,Residents158,3
496,Residents167,3
547,Residents64,6
583,Residents121,7
608,Residents122,2
615,Residents142,5
679,Residents120,2
