cycle,name,latent_period
85,Residents72,3
194,Staff43,8
197,Residents118,3
272,Residents114,5
287,Residents117,6
389,Staff95,9
397,Residents78,6
431,Residents166,8
432,Residents115,8
448,Staff79,7
496,Residents110,5
640,Staff133,9
652,Residents108,9
652,Staff136,7
652,Staff66,3
984,Residents122,8
1005,Residents69,4
1006,Residents75,3
1008,Residents50,9
1008,Residents70,3
1013,Residents21,7
1029,Residents0,6
1063,Residents76,2
1070,Residents134,2
1072,Residents80,4
1125,Residents133,4
1137,Residents130,8
1139,Residents71,3
1146,Residents27,6
1193,Residents129,8
1210,Residents77,4
1237,Residents48,4
1269,Staff97,2
1293,Residents45,4
1313,Residents159,3
1314,Staff81,4
1336,Residents164,2
1339,Staff115,5
1348,Residents103,4
1350,Residents98,6
1371,Residents96,8
1375,Residents125,6
1377,Residents42,4
1387,Residents161,8
1394,Residents54,4
1395,Residents62,2
1407,Residents151,5
1423,Residents44,2
1430,Residents30,2
1432,Staff101,5
1436,Staff157,4
1438,Residents43,2
1445,Staff144,8
1449,Residents47,4
1460,Staff29,2
1466,Residents160,6
1468,Residents162,3
1484,Staff71,4
1490,Residents121,2
1491,Residents105,7
1493,Residents46,3
1503,Staff8,2
1524,Residents138,2
1545,Residents139,9
1588,Staff46,3
1592,Residents169,8
1629,Residents29,3
1630,Residents100,4
1632,Residents155,3
1674,Staff166,9
1727,Residents106,6
1821,Residents68,2
1888,Residents107,6
1993,Staff62,9
2260,Residents35,6
2271,Residents34,9
