cycle,name,latent_period
90,Residents120,2
128,Residents21,5
182,Residents22,9
220,Staff21,7
243,Staff72,4
251,Residents117,6
292,Staff135,9
299,Residents168,9
318,Residents65,6
334,Residents82,6
334,Residents169,3
335,Residents46,2
343,Residents42,9
347,Residents48,7
357,Residents146,9
370,Residents7,7
370,Residents155,4
375,Residents62,3
375,Staff110,7
377,Residents118,2
378,Residents164,4
392,Residents143,2
393,Residents41,9
400,Residents115,2
400,Residents119,7
403,Residents88,6
404,Residents85,3
404,Residents163,5
415,Residents84,5
418,Residents47,6
422,Residents112,4
427,Residents113,7
427,Residents132,3
428,Residents3,5
430,Residents49,7
433,Residents39,6
433,Residents99,8
445,Residents45,7
445,Residents125,5
452,Residents114,2
456,Staff138,9
458,Residents72,2
462,Residents54,6
464,Residents81,3
466,Residents100,6
479,Residents34,4
480,Residents61,4
497,Residents17,4
499,Residents35,5
507,Residents83,7
510,Residents128,5
520,Residents4,4
520,Staff100,7
521,Residents152,9
530,Residents170,6
532,Residents116,8
541,Residents103,3
545,Residents74,6
546,Residents75,7
548,Residents64,4
548,Residents150,7
552,Residents5,2
556,Residents96,3
556,Residents97,4
560,Residents33,6
563,Residents165,2
565,Residents89,5
573,Residents162,5
581,Residents136,3
583,Staff27,4
586,Residents8,3
586,Residents124,4
597,Residents86,9
597,Residents95,5
601,Residents40,2
602,Residents20,5
603,Residents90,3
605,Staff67,5
607,Residents92,9
614,Residents29,8
614,Residents101,5
628,Staff84,5
635,Staff146,6
639,Residents127,8
647,Residents111,5
651,Staff169,4
652,Residents102,6
660,Residents137,3
668,Staff56,8
669,Residents159,8
675,Residents60,3
684,Residents10,2
695,Residents160,3
703,Residents26,4
711,Residents108,7
732,Residents76,3
733,Residents77,3
736,Staff48,8
751,Residents6,3
769,Residents104,5
778,Staff30,4
795,Residents24,2
801,Residents91,5
855,Residents130,4
875,Residents171,3
903,Residents25,4
919,Residents167,3
953,Residents129,4
961,Staff163,2
974,Residents18,4
995,Residents166,3
1056,Residents131,8
1190,Residents172,3
1324,Staff157,3
1439,Staff91,2
1448,Residents80,2
1503,Residents148,2
