cycle,name,latent_period
167,Residents130,7
343,Residents131,2
543,Residents163,6
584,Staff145,9
584,Staff17,2
616,Residents19,6
624,Staff147,9
627,Residents167,5
631,Residents17,7
648,Residents173,2
653,Residents143,4
725,Residents164,2
741,Staff132,3
756,Residents156,3
773,Residents31,2
784,Staff59,2
789,Residents171,6
793,Residents172,7
802,Residents18,3
812,Residents21,8
818,Staff35,6
851,Residents33,2
862,Residents67,3
864,Residents32,7
886,Residents158,4
932,Residents34,5
953,Residents68,4
953,Residents157,4
953,Staff84,4
960,Staff129,9
975,Residents66,4
1009,Residents142,8
1013,Residents35,5
1054,Residents54,2
1089,Residents7,3
1100,Staff73,3
1119,Residents5,7
1129,Residents56,2
1133,Staff157,4
1147,Residents103,8
1160,Staff151,9
1167,Residents154,7
1173,Residents78,4
1173,Staff44,7
1180,Residents40,6
1186,Residents107,2
1191,Staff0,7
1193,Staff155,2
1196,Staff162,6
1216,Residents92,3
1216,Residents105,3
1242,Residents36,7
1275,Residents95,7
1287,Residents91,7
1292,Residents99,2
1293,Staff131,4
1313,Staff23,2
1327,Residents97,8
1348,Residents100,8
1370,Residents102,5
1371,Residents101,2
1401,Residents106,2
1427,Residents41,5
1450,Residents98,2
1459,Residents79,4
1470,Residents38,2
1486,Residents48,2
1488,Residents47,4
1538,Residents96,8
1541,Residents74,5
1548,Residents24,4
1607,Residents90,8
1608,Staff11,5
1610,Staff48,7
1635,Staff54,9
1650,Residents161,2
1676,Staff108,4
1676,Staff81,4
1684,Staff14,7
1702,Residents160,5
1707,Residents50,6
1730,Residents120,6
1777,Residents159,3
2024,Staff31,3
2028,Staff62,8
2053,Staff135,4
2121,Residents8,9
2618,Staff130,2
2642,Staff156,6
