cycle,name,latent_period
27,Residents145,3
123,Residents144,7
132,Residents161,3
146,Residents158,7
168,Staff22,3
226,Residents160,9
233,Staff38,2
241,Staff96,2
247,Residents54,3
280,Residents153,3
289,Staff136,3
297,Residents47,5
314,Staff148,6
317,Staff74,9
325,Residents82,2
325,Residents116,6
331,Staff69,7
350,Residents83,7
350,Residents95,7
357,Residents55,5
359,Residents164,5
359,Residents146,9
362,Residents119,2
373,Residents94,5
381,Staff103,6
386,Residents147,2
395,Residents46,2
400,Staff45,3
404,Residents38,9
411,Residents36,8
419,Residents155,4
431,Residents33,8
436,Residents91,4
448,Staff145,3
449,Residents172,4
457,Residents154,5
460,Staff117,5
461,Residents171,4
461,Staff147,7
474,Staff54,3
481,Staff94,5
492,Residents115,8
499,Residents112,2
500,Residents104,4
504,Staff56,7
505,Residents56,3
505,Residents80,2
507,Residents93,2
555,Residents71,4
557,Residents165,8
565,Residents113,3
579,Residents41,3
579,Residents173,2
581,Staff34,3
585,Residents48,3
589,Residents110,6
591,Residents52,5
595,Residents152,4
603,Staff132,5
605,Staff168,3
618,Residents135,3
622,Residents58,2
626,Staff135,4
627,Residents125,6
629,Staff27,6
629,Staff19,3
630,Residents166,2
634,Residents25,6
637,Residents39,8
638,Residents99,5
643,Staff138,9
643,Staff161,5
651,Residents69,7
658,Residents102,3
660,Staff17,6
670,Residents163,2
674,Residents97,3
679,Residents78,3
682,Residents138,5
686,Residents57,8
691,Residents35,7
693,Residents150,7
696,Residents50,9
712,Staff128,3
714,Residents49,2
722,Residents131,4
731,Residents16,2
737,Residents31,2
737,Residents162,8
738,Staff121,4
743,Residents168,2
750,Residents122,3
751,Residents151,3
752,Residents24,5
754,Residents141,6
756,Residents70,4
763,Residents98,4
805,Residents140,4
811,Staff41,2
813,Residents101,9
820,Staff165,2
822,Residents103,5
828,Residents170,4
845,Residents30,8
855,Residents26,7
908,Staff24,3
917,Residents127,2
952,Residents37,8
957,Staff71,3
1002,Staff131,6
1034,Residents126,6
