cycle,name,latent_period
102,Residents15,2
188,Residents17,6
240,Staff168,2
243,Residents79,6
287,Staff91,9
287,Staff58,6
291,Staff122,4
345,Residents98,3
376,Residents123,2
405,Residents124,3
425,Residents96,6
512,Residents125,5
516,Residents145,9
597,Residents97,3
598,Residents148,3
783,Residents141,2
818,Staff157,6
839,Staff30,5
887,Staff136,5
931,Residents146,7
943,Staff120,3
1016,Staff97,2
1037,Staff71,2
1069,Staff16,5
1088,Staff146,5
1091,Staff112,3
1103,Residents144,6
1108,Staff55,8
1131,Residents88,2
1140,Residents84,5
1161,Staff45,6
1194,Residents142,4
1277,Staff22,3
1321,Staff13,2
1325,Residents135,2
1391,Residents137,6
1565,Staff24,2
