cycle,name,latent_period
28,Residents137,8
244,Residents136,2
769,Staff36,2
773,Staff147,3
846,Residents86,7
882,Residents84,5
1179,Residents28,3
1183,Residents133,8
1221,Residents51,2
1233,Staff112,9
1239,Staff18,3
1251,Residents30,3
1266,Residents53,4
1275,Staff27,2
1286,Residents50,4
1297,Residents49,4
1315,Staff139,2
1315,Staff15,7
1334,Residents92,3
1338,Residents27,5
1397,Residents48,3
1401,Residents90,9
1410,Residents52,7
1499,Residents157,5
1544,Residents68,9
1544,Residents67,9
1641,Residents171,2
1668,Residents158,5
1675,Residents113,5
1708,Residents62,3
1735,Residents117,3
1767,Staff106,3
1768,Residents66,7
1841,Staff107,4
1845,Staff129,4
1938,Staff75,7
