cycle,name,latent_period
39,Residents47,7
188,Staff123,7
478,Residents50,3
777,Residents135,5
781,Residents137,9
817,Residents153,6
830,Residents152,6
882,Residents99,3
927,Residents162,8
934,Residents27,3
941,Residents22,5
956,Residents100,7
984,Residents123,9
996,Residents98,4
1012,Residents23,3
1028,Residents41,8
1064,Residents39,4
1112,Residents96,7
1122,Residents24,2
1145,Residents121,3
1147,Residents124,5
1160,Residents109,3
1164,Residents40,5
1178,Residents26,7
1215,Residents122,3
1288,Residents28,6
