cycle,name,latent_period
68,Residents165,5
115,Residents167,4
159,Residents72,2
201,Residents52,3
223,Residents51,3
247,Residents70,6
247,Residents145,8
266,Residents144,6
268,Residents130,9
305,Residents93,5
321,Residents67,5
327,Staff69,3
330,Staff150,4
360,Residents53,3
363,Residents33,2
363,Residents162,2
432,Residents146,4
436,Residents94,2
518,Residents68,4
537,Residents83,4
549,Residents139,7
557,Residents85,4
573,Staff102,3
639,Residents41,6
663,Residents86,9
677,Residents39,2
724,Residents87,7
731,Residents40,8
732,Residents113,4
979,Residents89,3
1073,Staff118,2
1613,Residents31,4
