cycle,name,latent_period
58,Residents154,8
74,Residents164,7
257,Residents162,7
409,Residents121,6
411,Residents43,2
418,Residents86,7
427,Residents108,4
430,Residents111,4
431,Residents141,4
448,Residents38,9
465,Staff29,6
474,Residents18,7
492,Residents46,7
495,Residents20,3
499,Residents109,2
502,Residents44,7
507,Residents66,2
511,Residents2,7
511,Residents85,2
521,Residents42,2
521,Residents110,3
533,Residents70,6
534,Residents84,4
534,Residents12,9
563,Residents21,7
575,Residents19,3
581,Residents112,6
613,Residents143,9
627,Residents54,3
632,Residents134,6
642,Residents67,4
646,Residents140,9
704,Residents138,7
