cycle,name,latent_period
170,Residents146,5
309,Residents149,3
317,Staff53,4
378,Residents144,3
425,Staff121,2
435,Residents110,6
438,Residents35,6
439,Residents166,6
448,Staff33,4
455,Residents107,6
474,Staff148,5
498,Residents34,4
507,Residents37,7
540,Staff94,2
562,Residents112,4
591,Residents33,2
667,Staff68,6
671,Residents113,8
689,Residents31,7
690,Residents36,4
692,Staff65,8
770,Residents167,3
807,Residents70,3
813,Staff146,4
881,Residents71,3
1095,Residents101,7
1243,Staff40,4
1263,Staff142,4
