cycle,name,latent_period
28,Residents5,6
72,Staff20,3
72,Staff146,6
144,Staff72,5
219,Residents121,8
235,Residents81,4
257,Residents110,2
273,Residents18,2
285,Residents21,2
337,Staff111,4
350,Residents19,2
356,Staff86,6
369,Residents16,6
375,Residents154,8
376,Residents138,3
381,Staff59,3
402,Staff158,3
404,Staff152,4
405,Staff4,8
423,Residents155,3
425,Staff57,9
428,Residents47,9
438,Residents45,3
467,Residents142,8
479,Residents153,5
489,Staff117,3
493,Residents46,6
504,Residents95,5
528,Residents94,6
620,Staff165,9
802,Staff91,8
1149,Residents86,8
