cycle,name,latent_period
69,Staff132,9
149,Residents157,9
160,Residents156,5
186,Staff125,3
187,Staff101,5
197,Residents102,2
232,Staff72,2
233,Residents103,3
247,Staff110,9
248,Residents111,2
253,Residents108,8
258,Residents30,2
258,Residents107,5
260,Staff38,8
260,Staff6,4
269,Residents95,2
273,Residents73,7
274,Residents129,6
277,Residents33,3
277,Residents118,6
279,Staff56,2
281,Residents75,2
282,Residents104,4
283,Residents114,9
284,Staff116,4
287,Residents69,6
288,Staff153,7
290,Staff89,8
291,Residents77,8
292,Residents116,3
298,Residents27,8
299,Staff127,2
303,Residents36,6
304,Residents159,7
306,Staff62,2
309,Staff21,3
310,Residents147,6
312,Residents76,8
315,Staff19,4
322,Residents149,2
327,Staff10,9
331,Residents29,2
336,Residents92,8
340,Residents109,6
344,Residents93,9
345,Residents169,3
347,Residents86,2
350,Residents87,3
350,Residents90,8
353,Residents4,9
353,Residents167,6
353,Staff111,9
354,Residents162,9
356,Residents37,4
357,Residents35,3
358,Residents130,2
366,Residents88,2
369,Residents14,5
370,Residents112,9
371,Staff67,9
373,Residents22,2
377,Residents70,8
382,Residents9,9
383,Residents79,3
391,Residents94,2
394,Residents34,9
402,Residents165,7
404,Residents126,4
406,Residents158,3
409,Staff102,6
411,Residents82,5
416,Residents120,4
418,Residents89,8
419,Residents10,7
421,Residents100,6
422,Residents142,2
424,Staff97,3
426,Residents115,9
427,Residents78,2
427,Residents2,3
435,Staff165,8
437,Residents127,7
439,Residents85,4
440,Residents8,4
442,Residents119,4
448,Staff74,4
474,Staff166,4
478,Residents83,2
478,Residents140,8
482,Residents25,5
485,Residents168,5
490,Residents146,4
498,Residents6,6
503,Residents143,3
518,Residents161,3
525,Residents141,6
538,Residents59,6
545,Residents60,6
547,Residents11,9
561,Residents151,5
569,Residents18,3
582,Residents145,3
586,Residents144,9
590,Residents122,6
591,Residents128,2
629,Residents81,9
634,Residents24,8
682,Residents16,6
685,Residents139,2
687,Staff94,3
692,Staff150,9
699,Residents57,5
715,Residents62,4
717,Residents26,7
796,Residents61,3
855,Residents32,3
855,Residents58,7
866,Staff120,4
866,Staff126,2
874,Residents19,4
974,Residents28,5
1000,Residents49,4
1010,Residents48,7
1040,Residents46,3
1043,Residents54,6
1101,Residents132,2
1131,Staff84,6
1133,Residents50,3
1162,Residents134,3
1183,Residents137,5
1240,Staff11,9
1266,Staff133,3
1267,Residents135,8
1289,Staff164,3
1304,Residents131,5
1307,Residents136,5
1316,Staff160,5
1555,Residents91,5
