cycle,name,latent_period
395,Staff14,3
555,Staff59,5
555,Staff15,3
580,Residents149,4
678,Residents147,2
696,Staff147,2
769,Staff157,5
770,Staff7,7
900,Staff24,6
904,Residents31,2
916,Residents112,9
934,Residents111,8
935,Staff38,2
944,Residents168,3
951,Residents130,4
959,Staff3,2
970,Staff143,4
980,Residents162,2
1010,Residents86,3
1011,Residents158,5
1028,Residents163,2
1048,Residents148,7
1056,Staff49,2
1072,Residents129,2
1074,Residents164,8
1104,Staff161,3
1181,Staff55,5
1291,Staff155,6
1541,Staff94,5
1541,Staff47,3
