cycle,name,latent_period
215,Residents66,3
243,Residents117,2
262,Residents92,6
284,Residents172,3
295,Residents118,4
323,Residents95,8
359,Residents82,5
362,Residents25,2
371,Residents26,2
372,Residents171,2
384,Residents75,9
403,Residents55,3
426,Residents86,2
467,Residents59,2
476,Residents56,4
483,Residents173,3
485,Residents152,4
490,Residents85,4
502,Residents49,2
511,Residents151,7
517,Residents48,2
524,Residents52,5
553,Residents76,4
557,Residents158,8
557,Residents156,3
637,Residents108,2
645,Residents150,8
