cycle,name,latent_period
67,Residents116,9
686,Residents23,4
744,Staff4,3
749,Residents157,5
779,Residents159,6
786,Residents25,4
786,Residents78,5
803,Residents81,3
807,Residents82,4
823,Staff22,6
846,Residents53,5
849,Residents161,2
859,Residents146,9
861,Residents83,8
880,Residents156,2
883,Residents65,6
894,Residents24,4
894,Residents166,3
895,Residents142,9
908,Residents144,2
914,Residents91,3
960,Residents130,5
961,Residents101,4
965,Residents141,6
1004,Residents124,2
1012,Residents145,6
1021,Residents136,7
1069,Residents165,3
1117,Residents131,4
1136,Staff135,2
1206,Residents137,4
1224,Staff38,9
