cycle,name,Type,ResTurn
7,Staff0,CN,0
7,Staff1,CN,0
7,Staff9,CN,0
7,Staff12,CN,0
7,Staff13,RN,0
7,Staff14,RN,0
7,Staff16,CN,0
7,Staff19,CN,0
7,Staff26,CN,0
7,Staff29,RN,0
7,Staff30,CN,0
7,Staff40,RN,0
7,Staff41,LPN,0
7,Staff45,CN,0
7,Staff46,LPN,0
7,Staff48,LPN,0
7,Staff49,CN,0
7,Staff71,CN,0
7,Staff76,RN,0
7,Staff80,RN,0
7,Staff86,CN,0
7,Staff87,CN,0
7,Staff94,LPN,0
7,Staff99,CN,0
7,Staff106,CN,0
7,Staff111,LPN,0
7,Staff119,CN,0
7,Staff120,CN,0
7,Staff123,CN,0
7,Staff141,CN,0
7,Staff148,RN,0
15,Staff2,CN,0
15,Staff3,CN,0
15,Staff4,CN,0
15,Staff6,CN,0
15,Staff7,LPN,0
15,Staff15,CN,0
15,Staff18,CN,0
15,Staff21,LPN,0
15,Staff23,CN,0
15,Staff25,RN,0
15,Staff28,CN,0
15,Staff31,CN,0
15,Staff35,CN,0
15,Staff36,RN,0
15,Staff37,CN,0
15,Staff38,CN,0
15,Staff43,RN,0
15,Staff44,RN,0
15,Staff50,CN,0
15,Staff51,CN,0
15,Staff54,LPN,0
15,Staff56,RN,0
15,Staff57,CN,0
15,Staff58,CN,0
15,Staff60,CN,0
15,Staff63,CN,0
15,Staff64,RN,0
15,Staff66,CN,0
15,Staff67,LPN,0
15,Staff69,CN,0
15,Staff72,CN,0
15,Staff74,RN,0
15,Staff77,CN,0
15,Staff79,CN,0
15,Staff81,CN,0
15,Staff88,LPN,0
15,Staff89,CN,0
15,Staff92,CN,0
15,Staff95,CN,0
15,Staff96,LPN,0
15,Staff97,CN,0
15,Staff98,CN,0
15,Staff100,CN,0
15,Staff101,CN,0
15,Staff102,CN,0
15,Staff103,LPN,0
15,Staff108,CN,0
15,Staff110,CN,0
15,Staff112,CN,0
15,Staff115,CN,0
15,Staff117,CN,0
15,Staff122,CN,0
15,Staff125,CN,0
15,Staff126,CN,0
15,Staff128,CN,0
15,Staff129,CN,0
15,Staff130,LPN,0
15,Staff131,LPN,0
15,Staff132,CN,0
15,Staff133,RN,0
15,Staff139,RN,0
15,Staff142,CN,0
15,Staff144,LPN,0
15,Staff145,CN,0
15,Staff147,CN,0
15,Staff149,LPN,0
15,Staff151,CN,0
15,Staff155,CN,0
15,Staff156,CN,0
15,Staff159,CN,0
15,Staff160,LPN,0
15,Staff162,LPN,0
15,Staff163,CN,0
15,Staff169,CN,0
23,Staff5,CN,2
23,Staff8,LPN,21
23,Staff10,LPN,20
23,Staff11,CN,2
23,Staff17,CN,3
23,Staff20,RN,5
23,Staff22,CN,2
23,Staff24,CN,3
23,Staff27,CN,1
23,Staff32,CN,3
23,Staff33,CN,2
23,Staff34,CN,2
23,Staff39,CN,4
23,Staff42,RN,5
23,Staff47,CN,4
23,Staff52,CN,1
23,Staff53,LPN,19
23,Staff55,CN,2
23,Staff59,CN,3
23,Staff61,CN,4
23,Staff62,RN,3
23,Staff65,CN,1
23,Staff68,CN,1
23,Staff70,CN,1
23,Staff73,CN,3
23,Staff75,CN,1
23,Staff78,CN,1
23,Staff82,LPN,19
23,Staff83,RN,4
23,Staff84,CN,3
23,Staff85,CN,2
23,Staff90,CN,2
23,Staff91,LPN,15
23,Staff93,CN,2
23,Staff104,LPN,18
23,Staff105,CN,3
23,Staff107,CN,2
23,Staff109,CN,1
23,Staff113,LPN,16
23,Staff114,CN,4
23,Staff116,CN,1
23,Staff118,LPN,17
23,Staff121,CN,1
23,Staff124,CN,1
23,Staff127,CN,2
23,Staff134,LPN,12
23,Staff135,CN,1
23,Staff136,CN,0
23,Staff137,LPN,19
23,Staff138,CN,2
23,Staff140,LPN,10
23,Staff143,CN,3
23,Staff146,CN,0
23,Staff150,CN,1
23,Staff152,CN,2
23,Staff153,RN,6
23,Staff154,RN,4
23,Staff157,CN,2
23,Staff158,RN,6
23,Staff161,CN,1
23,Staff164,CN,2
23,Staff165,CN,3
23,Staff166,CN,3
23,Staff167,LPN,17
23,Staff168,LPN,20
31,Staff0,CN,2
31,Staff1,CN,1
31,Staff9,CN,3
31,Staff12,CN,2
31,Staff13,RN,6
31,Staff14,RN,3
31,Staff16,CN,1
31,Staff19,CN,4
31,Staff26,CN,4
31,Staff29,RN,6
31,Staff30,CN,2
31,Staff40,RN,5
31,Staff41,LPN,22
31,Staff45,CN,1
31,Staff46,LPN,23
31,Staff48,LPN,21
31,Staff49,CN,3
31,Staff71,CN,1
31,Staff76,RN,5
31,Staff80,RN,6
31,Staff86,CN,3
31,Staff87,CN,3
31,Staff94,LPN,18
31,Staff99,CN,3
31,Staff106,CN,1
31,Staff111,LPN,13
31,Staff119,CN,0
31,Staff120,CN,4
31,Staff123,CN,3
31,Staff141,CN,3
31,Staff148,RN,6
39,Staff2,CN,0
39,Staff3,CN,2
39,Staff4,CN,0
39,Staff6,CN,2
39,Staff7,LPN,24
39,Staff15,CN,2
39,Staff18,CN,1
39,Staff21,LPN,18
39,Staff23,CN,1
39,Staff25,RN,5
39,Staff28,CN,5
39,Staff31,CN,2
39,Staff35,CN,3
39,Staff36,RN,6
39,Staff37,CN,3
39,Staff38,CN,3
39,Staff43,RN,4
39,Staff44,RN,4
39,Staff50,CN,3
39,Staff51,CN,3
39,Staff54,LPN,20
39,Staff56,RN,5
39,Staff57,CN,1
39,Staff58,CN,2
39,Staff60,CN,2
39,Staff63,CN,3
39,Staff64,RN,5
39,Staff66,CN,4
39,Staff67,LPN,7
39,Staff69,CN,4
39,Staff72,CN,4
39,Staff74,RN,5
39,Staff77,CN,4
39,Staff79,CN,2
39,Staff81,CN,0
39,Staff88,LPN,19
39,Staff89,CN,2
39,Staff92,CN,0
39,Staff95,CN,3
39,Staff96,LPN,11
39,Staff97,CN,3
39,Staff98,CN,3
39,Staff100,CN,2
39,Staff101,CN,2
39,Staff102,CN,2
39,Staff103,LPN,19
39,Staff108,CN,3
39,Staff110,CN,4
39,Staff112,CN,3
39,Staff115,CN,1
39,Staff117,CN,4
39,Staff122,CN,0
39,Staff125,CN,1
39,Staff126,CN,0
39,Staff128,CN,0
39,Staff129,CN,4
39,Staff130,LPN,23
39,Staff131,LPN,25
39,Staff132,CN,4
39,Staff133,RN,6
39,Staff139,RN,5
39,Staff142,CN,0
39,Staff144,LPN,24
39,Staff145,CN,0
39,Staff147,CN,3
39,Staff149,LPN,17
39,Staff151,CN,0
39,Staff155,CN,3
39,Staff156,CN,5
39,Staff159,CN,2
39,Staff160,LPN,21
39,Staff162,LPN,20
39,Staff163,CN,5
39,Staff169,CN,3
47,Staff5,CN,3
47,Staff8,LPN,22
47,Staff10,LPN,17
47,Staff11,CN,2
47,Staff17,CN,4
47,Staff20,RN,4
47,Staff22,CN,2
47,Staff24,CN,0
47,Staff27,CN,2
47,Staff32,CN,1
47,Staff33,CN,5
47,Staff34,CN,3
47,Staff39,CN,2
47,Staff42,RN,5
47,Staff47,CN,3
47,Staff52,CN,2
47,Staff53,LPN,20
47,Staff55,CN,4
47,Staff59,CN,2
47,Staff61,CN,2
47,Staff62,RN,6
47,Staff65,CN,1
47,Staff68,CN,1
47,Staff70,CN,2
47,Staff73,CN,3
47,Staff75,CN,2
47,Staff78,CN,2
47,Staff82,LPN,21
47,Staff83,RN,7
47,Staff84,CN,2
47,Staff85,CN,0
47,Staff90,CN,3
47,Staff91,LPN,25
47,Staff93,CN,2
47,Staff104,LPN,19
47,Staff105,CN,3
47,Staff107,CN,1
47,Staff109,CN,3
47,Staff113,LPN,20
47,Staff114,CN,2
47,Staff116,CN,2
47,Staff118,LPN,13
47,Staff121,CN,2
47,Staff124,CN,1
47,Staff127,CN,2
47,Staff134,LPN,25
47,Staff135,CN,3
47,Staff136,CN,4
47,Staff137,LPN,15
47,Staff138,CN,2
47,Staff140,LPN,27
47,Staff143,CN,1
47,Staff146,CN,2
47,Staff150,CN,4
47,Staff152,CN,2
47,Staff153,RN,4
47,Staff154,RN,3
47,Staff157,CN,2
47,Staff158,RN,6
47,Staff161,CN,0
47,Staff164,CN,4
47,Staff165,CN,2
47,Staff166,CN,3
47,Staff167,LPN,31
47,Staff168,LPN,16
55,Staff0,CN,2
55,Staff1,CN,3
55,Staff9,CN,3
55,Staff12,CN,3
55,Staff13,RN,5
55,Staff14,RN,4
55,Staff16,CN,4
55,Staff19,CN,0
55,Staff26,CN,2
55,Staff29,RN,7
55,Staff30,CN,3
55,Staff40,RN,4
55,Staff41,LPN,17
55,Staff45,CN,3
55,Staff46,LPN,14
55,Staff48,LPN,21
55,Staff49,CN,2
55,Staff71,CN,1
55,Staff76,RN,3
55,Staff80,RN,6
55,Staff86,CN,1
55,Staff87,CN,2
55,Staff94,LPN,25
55,Staff99,CN,3
55,Staff106,CN,5
55,Staff111,LPN,18
55,Staff119,CN,1
55,Staff120,CN,1
55,Staff123,CN,1
55,Staff141,CN,3
55,Staff148,RN,5
63,Staff2,CN,1
63,Staff3,CN,4
63,Staff4,CN,3
63,Staff6,CN,2
63,Staff7,LPN,26
63,Staff15,CN,2
63,Staff18,CN,2
63,Staff21,LPN,28
63,Staff23,CN,3
63,Staff25,RN,6
63,Staff28,CN,1
63,Staff31,CN,1
63,Staff35,CN,1
63,Staff36,RN,5
63,Staff37,CN,2
63,Staff38,CN,1
63,Staff43,RN,7
63,Staff44,RN,6
63,Staff50,CN,1
63,Staff51,CN,2
63,Staff54,LPN,18
63,Staff56,RN,6
63,Staff57,CN,2
63,Staff58,CN,0
63,Staff60,CN,1
63,Staff63,CN,3
63,Staff64,RN,4
63,Staff66,CN,1
63,Staff67,LPN,16
63,Staff69,CN,2
63,Staff72,CN,4
63,Staff74,RN,6
63,Staff77,CN,2
63,Staff79,CN,3
63,Staff81,CN,3
63,Staff88,LPN,21
63,Staff89,CN,5
63,Staff92,CN,2
63,Staff95,CN,2
63,Staff96,LPN,18
63,Staff97,CN,2
63,Staff98,CN,1
63,Staff100,CN,1
63,Staff101,CN,3
63,Staff102,CN,3
63,Staff103,LPN,17
63,Staff108,CN,4
63,Staff110,CN,2
63,Staff112,CN,3
63,Staff115,CN,2
63,Staff117,CN,2
63,Staff122,CN,1
63,Staff125,CN,2
63,Staff126,CN,3
63,Staff128,CN,1
63,Staff129,CN,2
