cycle,name,Type,ResTurn
7,Staff3,CN,0
7,Staff5,CN,0
7,Staff9,LPN,0
7,Staff17,CN,0
7,Staff29,CN,0
7,Staff37,CN,0
7,Staff40,CN,0
7,Staff57,CN,0
7,Staff67,LPN,0
7,Staff68,CN,0
7,Staff75,LPN,0
7,Staff80,RN,0
7,Staff84,CN,0
7,Staff86,CN,0
7,Staff88,LPN,0
7,Staff95,CN,0
7,Staff96,RN,0
7,Staff100,CN,0
7,Staff101,LPN,0
7,Staff103,CN,0
7,Staff105,CN,0
7,Staff116,CN,0
7,Staff118,CN,0
7,Staff127,RN,0
7,Staff133,CN,0
7,Staff136,LPN,0
7,Staff145,LPN,0
7,Staff147,LPN,0
7,Staff149,CN,0
7,Staff157,LPN,0
7,Staff168,CN,0
15,Staff0,RN,0
15,Staff4,CN,0
15,Staff7,CN,0
15,Staff8,CN,0
15,Staff10,CN,0
15,Staff12,CN,0
15,Staff15,CN,0
15,Staff16,CN,0
15,Staff20,CN,0
15,Staff21,CN,0
15,Staff25,CN,0
15,Staff26,CN,0
15,Staff27,RN,0
15,Staff30,CN,0
15,Staff32,CN,0
15,Staff33,RN,0
15,Staff34,CN,0
15,Staff35,LPN,0
15,Staff39,CN,0
15,Staff41,RN,0
15,Staff42,LPN,0
15,Staff44,CN,0
15,Staff46,CN,0
15,Staff48,CN,0
15,Staff53,CN,0
15,Staff56,RN,0
15,Staff59,RN,0
15,Staff61,CN,0
15,Staff62,LPN,0
15,Staff63,RN,0
15,Staff64,CN,0
15,Staff69,CN,0
15,Staff72,LPN,0
15,Staff73,RN,0
15,Staff76,CN,0
15,Staff78,CN,0
15,Staff79,CN,0
15,Staff81,CN,0
15,Staff85,CN,0
15,Staff89,CN,0
15,Staff90,CN,0
15,Staff91,CN,0
15,Staff93,CN,0
15,Staff94,CN,0
15,Staff102,RN,0
15,Staff106,LPN,0
15,Staff107,CN,0
15,Staff109,RN,0
15,Staff110,CN,0
15,Staff111,CN,0
15,Staff112,RN,0
15,Staff113,CN,0
15,Staff114,RN,0
15,Staff115,CN,0
15,Staff117,RN,0
15,Staff119,CN,0
15,Staff123,CN,0
15,Staff124,CN,0
15,Staff126,CN,0
15,Staff129,CN,0
15,Staff132,CN,0
15,Staff134,RN,0
15,Staff138,RN,0
15,Staff139,CN,0
15,Staff142,CN,0
15,Staff143,LPN,0
15,Staff146,CN,0
15,Staff151,CN,0
15,Staff152,RN,0
15,Staff155,CN,0
15,Staff158,CN,0
15,Staff162,CN,0
15,Staff164,CN,0
15,Staff165,CN,0
