cycle,name,Type,ResTurn
7,Staff0,CN,0
7,Staff5,CN,0
7,Staff6,CN,0
7,Staff16,LPN,0
7,Staff22,RN,0
7,Staff27,CN,0
7,Staff31,CN,0
7,Staff39,CN,0
7,Staff42,CN,0
7,Staff52,CN,0
7,Staff54,LPN,0
7,Staff76,RN,0
7,Staff78,RN,0
7,Staff86,LPN,0
7,Staff88,CN,0
7,Staff89,CN,0
7,Staff92,CN,0
7,Staff94,CN,0
7,Staff95,CN,0
7,Staff97,CN,0
7,Staff99,CN,0
7,Staff102,CN,0
7,Staff103,CN,0
7,Staff111,CN,0
7,Staff112,CN,0
7,Staff114,CN,0
7,Staff120,CN,0
7,Staff153,RN,0
7,Staff161,LPN,0
15,Staff3,LPN,0
15,Staff7,CN,0
15,Staff8,CN,0
15,Staff10,LPN,0
15,Staff11,RN,0
15,Staff14,RN,0
15,Staff19,RN,0
15,Staff24,RN,0
15,Staff26,LPN,0
15,Staff29,CN,0
15,Staff30,CN,0
15,Staff33,CN,0
15,Staff35,CN,0
15,Staff37,CN,0
15,Staff38,LPN,0
15,Staff41,CN,0
15,Staff43,CN,0
15,Staff44,CN,0
15,Staff48,CN,0
15,Staff49,LPN,0
15,Staff50,CN,0
15,Staff51,CN,0
15,Staff55,CN,0
15,Staff56,LPN,0
15,Staff57,CN,0
15,Staff58,CN,0
15,Staff60,CN,0
15,Staff61,CN,0
15,Staff64,LPN,0
15,Staff65,CN,0
15,Staff66,CN,0
15,Staff67,RN,0
15,Staff71,CN,0
15,Staff72,LPN,0
15,Staff74,CN,0
15,Staff79,CN,0
15,Staff80,CN,0
15,Staff81,CN,0
15,Staff83,LPN,0
15,Staff85,CN,0
15,Staff93,CN,0
15,Staff104,RN,0
15,Staff106,CN,0
15,Staff108,RN,0
15,Staff109,CN,0
15,Staff113,RN,0
15,Staff116,RN,0
15,Staff119,CN,0
15,Staff121,CN,0
15,Staff122,CN,0
15,Staff123,RN,0
15,Staff124,RN,0
15,Staff127,LPN,0
15,Staff128,CN,0
15,Staff131,CN,0
15,Staff134,LPN,0
15,Staff135,CN,0
