cycle,name,Type,ResTurn
7,Staff3,CN,0
7,Staff14,CN,0
7,Staff17,CN,0
7,Staff19,LPN,0
7,Staff23,RN,0
7,Staff29,CN,0
7,Staff35,CN,0
7,Staff39,CN,0
7,Staff62,RN,0
7,Staff73,CN,0
7,Staff76,CN,0
7,Staff77,RN,0
7,Staff86,LPN,0
7,Staff88,CN,0
7,Staff93,CN,0
7,Staff117,CN,0
7,Staff119,CN,0
7,Staff124,LPN,0
7,Staff136,CN,0
7,Staff146,CN,0
7,Staff147,CN,0
7,Staff158,CN,0
7,Staff159,LPN,0
15,Staff1,CN,0
15,Staff6,RN,0
15,Staff8,CN,0
15,Staff9,CN,0
15,Staff10,CN,0
15,Staff16,LPN,0
15,Staff20,CN,0
15,Staff22,CN,0
15,Staff25,LPN,0
15,Staff28,LPN,0
15,Staff33,LPN,0
15,Staff34,RN,0
15,Staff36,CN,0
15,Staff38,CN,0
15,Staff40,LPN,0
15,Staff44,RN,0
15,Staff45,CN,0
15,Staff47,LPN,0
15,Staff48,LPN,0
15,Staff49,CN,0
15,Staff50,LPN,0
15,Staff52,LPN,0
15,Staff53,CN,0
15,Staff54,CN,0
15,Staff55,CN,0
15,Staff61,CN,0
15,Staff63,LPN,0
15,Staff65,LPN,0
15,Staff69,CN,0
15,Staff70,CN,0
15,Staff79,CN,0
15,Staff80,LPN,0
15,Staff82,CN,0
15,Staff83,CN,0
15,Staff85,CN,0
15,Staff92,LPN,0
15,Staff95,CN,0
15,Staff99,RN,0
15,Staff100,CN,0
15,Staff105,CN,0
15,Staff107,CN,0
15,Staff110,CN,0
15,Staff112,LPN,0
15,Staff115,RN,0
15,Staff121,RN,0
15,Staff123,CN,0
15,Staff125,CN,0
15,Staff127,CN,0
15,Staff128,LPN,0
15,Staff129,RN,0
15,Staff130,CN,0
15,Staff131,LPN,0
15,Staff132,CN,0
15,Staff133,LPN,0
15,Staff135,CN,0
15,Staff137,CN,0
15,Staff138,CN,0
15,Staff140,CN,0
15,Staff141,CN,0
15,Staff142,RN,0
15,Staff144,CN,0
15,Staff145,LPN,0
15,Staff148,CN,0
15,Staff149,CN,0
15,Staff150,CN,0
15,Staff151,CN,0
15,Staff155,CN,0
15,Staff156,CN,0
15,Staff161,LPN,0
15,Staff164,CN,0
15,Staff169,LPN,0
23,Staff0,CN,2
23,Staff2,CN,0
23,Staff4,CN,4
23,Staff5,LPN,19
23,Staff7,LPN,17
23,Staff11,CN,4
23,Staff12,CN,3
23,Staff13,RN,5
23,Staff15,CN,3
23,Staff18,CN,2
23,Staff21,RN,6
23,Staff24,CN,1
23,Staff26,RN,4
23,Staff27,CN,2
23,Staff30,CN,2
23,Staff31,CN,2
23,Staff32,CN,3
23,Staff37,CN,2
23,Staff41,RN,4
23,Staff42,LPN,16
23,Staff43,CN,1
23,Staff46,CN,2
23,Staff51,CN,3
23,Staff56,CN,3
23,Staff57,CN,0
23,Staff58,CN,2
23,Staff59,CN,3
23,Staff60,CN,4
23,Staff64,CN,3
23,Staff66,CN,1
23,Staff67,CN,2
23,Staff68,CN,0
23,Staff71,CN,2
23,Staff72,RN,4
23,Staff74,CN,1
23,Staff75,LPN,6
23,Staff78,LPN,21
23,Staff81,CN,2
23,Staff84,LPN,15
23,Staff87,CN,3
23,Staff89,CN,3
23,Staff90,CN,2
23,Staff91,RN,5
23,Staff94,CN,3
23,Staff96,CN,3
23,Staff97,CN,2
23,Staff98,CN,1
23,Staff101,LPN,17
23,Staff102,CN,1
23,Staff103,CN,2
23,Staff104,CN,0
23,Staff106,CN,1
23,Staff108,RN,5
23,Staff109,RN,5
23,Staff111,CN,3
23,Staff113,CN,1
23,Staff114,CN,2
23,Staff116,CN,3
23,Staff118,CN,2
23,Staff120,LPN,19
23,Staff122,RN,6
23,Staff126,CN,3
23,Staff134,RN,5
23,Staff139,LPN,20
23,Staff143,CN,3
23,Staff152,CN,1
23,Staff153,CN,2
23,Staff154,CN,0
23,Staff157,CN,2
23,Staff160,RN,4
23,Staff162,CN,3
23,Staff163,CN,3
23,Staff165,LPN,18
23,Staff166,LPN,15
23,Staff167,CN,1
23,Staff168,CN,2
31,Staff3,CN,1
31,Staff14,CN,1
31,Staff17,CN,1
31,Staff19,LPN,18
31,Staff23,RN,6
31,Staff29,CN,2
31,Staff35,CN,2
31,Staff39,CN,3
31,Staff62,RN,6
31,Staff73,CN,2
31,Staff76,CN,3
31,Staff77,RN,3
31,Staff86,LPN,10
31,Staff88,CN,3
31,Staff93,CN,1
31,Staff117,CN,3
31,Staff119,CN,1
31,Staff124,LPN,19
31,Staff136,CN,1
31,Staff146,CN,2
31,Staff147,CN,4
31,Staff158,CN,2
31,Staff159,LPN,13
39,Staff1,CN,3
39,Staff6,RN,5
39,Staff8,CN,2
39,Staff9,CN,4
39,Staff10,CN,1
39,Staff16,LPN,16
39,Staff20,CN,0
39,Staff22,CN,1
39,Staff25,LPN,26
39,Staff28,LPN,27
39,Staff33,LPN,16
39,Staff34,RN,3
39,Staff36,CN,0
39,Staff38,CN,4
39,Staff40,LPN,15
39,Staff44,RN,3
39,Staff45,CN,3
39,Staff47,LPN,19
39,Staff48,LPN,23
39,Staff49,CN,1
39,Staff50,LPN,20
39,Staff52,LPN,18
39,Staff53,CN,1
39,Staff54,CN,1
39,Staff55,CN,5
39,Staff61,CN,4
39,Staff63,LPN,14
39,Staff65,LPN,20
39,Staff69,CN,3
39,Staff70,CN,1
39,Staff79,CN,1
39,Staff80,LPN,17
39,Staff82,CN,2
39,Staff83,CN,0
39,Staff85,CN,3
39,Staff92,LPN,23
39,Staff95,CN,3
39,Staff99,RN,7
39,Staff100,CN,2
39,Staff105,CN,3
39,Staff107,CN,3
39,Staff110,CN,2
39,Staff112,LPN,18
39,Staff115,RN,6
39,Staff121,RN,6
39,Staff123,CN,0
39,Staff125,CN,2
39,Staff127,CN,3
39,Staff128,LPN,16
39,Staff129,RN,4
39,Staff130,CN,0
39,Staff131,LPN,23
39,Staff132,CN,1
39,Staff133,LPN,11
39,Staff135,CN,4
39,Staff137,CN,0
39,Staff138,CN,2
39,Staff140,CN,4
39,Staff141,CN,2
39,Staff142,RN,7
39,Staff144,CN,2
39,Staff145,LPN,13
39,Staff148,CN,1
39,Staff149,CN,1
39,Staff150,CN,3
39,Staff151,CN,1
39,Staff155,CN,4
39,Staff156,CN,3
39,Staff161,LPN,22
39,Staff164,CN,1
39,Staff169,LPN,18
47,Staff0,CN,1
47,Staff2,CN,1
47,Staff4,CN,2
47,Staff5,LPN,20
47,Staff7,LPN,23
47,Staff11,CN,1
47,Staff12,CN,2
47,Staff13,RN,7
47,Staff15,CN,4
47,Staff18,CN,3
47,Staff21,RN,5
47,Staff24,CN,2
47,Staff26,RN,4
47,Staff27,CN,2
47,Staff30,CN,1
47,Staff31,CN,4
47,Staff32,CN,2
47,Staff37,CN,1
47,Staff41,RN,6
47,Staff42,LPN,22
47,Staff43,CN,1
47,Staff46,CN,3
47,Staff51,CN,2
47,Staff56,CN,3
47,Staff57,CN,2
47,Staff58,CN,4
47,Staff59,CN,3
47,Staff60,CN,1
47,Staff64,CN,3
47,Staff66,CN,2
47,Staff67,CN,1
47,Staff68,CN,1
47,Staff71,CN,1
47,Staff72,RN,3
47,Staff74,CN,1
47,Staff75,LPN,23
47,Staff78,LPN,18
47,Staff81,CN,2
47,Staff84,LPN,19
47,Staff87,CN,3
47,Staff89,CN,1
47,Staff90,CN,3
47,Staff91,RN,4
47,Staff94,CN,1
47,Staff96,CN,2
47,Staff97,CN,3
47,Staff98,CN,1
47,Staff101,LPN,23
47,Staff102,CN,2
47,Staff103,CN,2
47,Staff104,CN,3
47,Staff106,CN,3
47,Staff108,RN,6
47,Staff109,RN,6
47,Staff111,CN,1
47,Staff113,CN,3
47,Staff114,CN,1
47,Staff116,CN,3
47,Staff118,CN,0
47,Staff120,LPN,27
47,Staff122,RN,7
47,Staff126,CN,2
47,Staff134,RN,6
47,Staff139,LPN,25
47,Staff143,CN,3
47,Staff152,CN,3
47,Staff153,CN,2
47,Staff154,CN,1
47,Staff157,CN,3
47,Staff160,RN,3
47,Staff162,CN,2
47,Staff163,CN,0
47,Staff165,LPN,18
47,Staff166,LPN,23
47,Staff167,CN,4
47,Staff168,CN,2
55,Staff3,CN,2
55,Staff14,CN,2
55,Staff17,CN,4
55,Staff19,LPN,15
55,Staff23,RN,7
55,Staff29,CN,3
