cycle,name,Type,ResTurn
7,Staff9,CN,0
7,Staff11,CN,0
7,Staff22,CN,0
7,Staff25,CN,0
7,Staff32,CN,0
7,Staff34,RN,0
7,Staff35,CN,0
7,Staff38,CN,0
7,Staff41,CN,0
7,Staff43,RN,0
7,Staff48,CN,0
7,Staff50,CN,0
7,Staff63,CN,0
7,Staff64,CN,0
7,Staff65,CN,0
7,Staff66,CN,0
7,Staff67,CN,0
7,Staff78,CN,0
7,Staff81,CN,0
7,Staff85,CN,0
7,Staff91,CN,0
7,Staff93,CN,0
7,Staff116,RN,0
7,Staff117,CN,0
7,Staff122,CN,0
7,Staff129,CN,0
7,Staff131,CN,0
7,Staff135,RN,0
7,Staff146,LPN,0
7,Staff160,LPN,0
7,Staff164,CN,0
7,Staff166,RN,0
7,Staff167,RN,0
7,Staff169,RN,0
15,Staff3,LPN,0
15,Staff5,LPN,0
15,Staff7,CN,0
15,Staff10,CN,0
15,Staff14,LPN,0
15,Staff15,CN,0
15,Staff19,CN,0
15,Staff20,CN,0
15,Staff21,CN,0
15,Staff24,CN,0
15,Staff27,CN,0
15,Staff30,LPN,0
15,Staff31,CN,0
15,Staff42,CN,0
15,Staff49,CN,0
15,Staff53,CN,0
15,Staff55,CN,0
15,Staff56,CN,0
15,Staff58,CN,0
15,Staff59,RN,0
15,Staff60,CN,0
15,Staff62,CN,0
15,Staff68,CN,0
15,Staff69,CN,0
15,Staff71,CN,0
15,Staff73,CN,0
15,Staff74,CN,0
15,Staff77,CN,0
15,Staff82,RN,0
15,Staff86,CN,0
15,Staff89,RN,0
15,Staff94,CN,0
15,Staff103,CN,0
15,Staff105,CN,0
15,Staff108,CN,0
15,Staff109,CN,0
15,Staff113,CN,0
15,Staff114,LPN,0
15,Staff118,CN,0
15,Staff125,CN,0
15,Staff130,CN,0
15,Staff132,CN,0
15,Staff134,CN,0
15,Staff136,LPN,0
15,Staff138,CN,0
15,Staff139,CN,0
15,Staff141,CN,0
15,Staff142,CN,0
15,Staff143,CN,0
15,Staff148,CN,0
15,Staff149,LPN,0
15,Staff150,CN,0
15,Staff151,RN,0
15,Staff152,CN,0
15,Staff153,CN,0
15,Staff154,CN,0
15,Staff156,CN,0
15,Staff157,CN,0
15,Staff158,CN,0
15,Staff161,CN,0
15,Staff162,CN,0
15,Staff163,RN,0
15,Staff165,CN,0
23,Staff0,CN,2
23,Staff1,CN,2
23,Staff2,RN,6
23,Staff4,RN,5
23,Staff6,CN,1
23,Staff8,LPN,9
23,Staff12,CN,3
23,Staff13,CN,0
23,Staff16,CN,1
23,Staff17,CN,0
23,Staff18,CN,0
23,Staff23,LPN,22
23,Staff26,RN,6
23,Staff28,CN,0
23,Staff29,CN,2
23,Staff33,RN,5
23,Staff36,CN,1
23,Staff37,RN,4
23,Staff39,CN,4
23,Staff40,CN,0
23,Staff44,RN,5
23,Staff45,CN,1
23,Staff46,RN,4
23,Staff47,CN,2
23,Staff51,LPN,18
23,Staff52,CN,1
23,Staff54,CN,2
23,Staff57,CN,2
23,Staff61,CN,2
23,Staff70,CN,1
23,Staff72,CN,3
23,Staff75,RN,3
23,Staff76,CN,1
23,Staff79,CN,1
23,Staff80,CN,3
23,Staff83,CN,2
23,Staff84,CN,1
23,Staff87,CN,1
23,Staff88,RN,4
23,Staff90,RN,4
23,Staff92,LPN,15
23,Staff95,CN,0
23,Staff96,CN,1
23,Staff97,CN,1
23,Staff98,LPN,12
23,Staff99,CN,3
23,Staff100,CN,0
23,Staff101,CN,1
23,Staff102,CN,2
23,Staff104,CN,1
23,Staff106,CN,4
23,Staff107,CN,0
23,Staff110,CN,2
23,Staff111,RN,6
23,Staff112,RN,4
23,Staff115,CN,1
23,Staff119,CN,1
23,Staff120,CN,2
23,Staff121,CN,3
23,Staff123,CN,1
23,Staff124,CN,5
23,Staff126,CN,0
23,Staff127,CN,1
23,Staff128,RN,4
23,Staff133,CN,1
23,Staff137,CN,1
23,Staff140,CN,1
23,Staff144,LPN,19
23,Staff145,LPN,12
23,Staff147,RN,6
23,Staff155,CN,1
23,Staff159,CN,2
23,Staff168,RN,3
31,Staff9,CN,5
31,Staff11,CN,4
31,Staff22,CN,2
31,Staff25,CN,2
31,Staff32,CN,2
31,Staff34,RN,5
31,Staff35,CN,2
31,Staff38,CN,3
31,Staff41,CN,5
31,Staff43,RN,6
31,Staff48,CN,3
31,Staff50,CN,2
31,Staff63,CN,1
31,Staff64,CN,4
31,Staff65,CN,3
31,Staff66,CN,2
31,Staff67,CN,2
31,Staff78,CN,1
31,Staff81,CN,2
31,Staff85,CN,3
31,Staff91,CN,2
31,Staff93,CN,3
31,Staff116,RN,4
31,Staff117,CN,3
31,Staff122,CN,3
31,Staff129,CN,2
31,Staff131,CN,1
31,Staff135,RN,6
31,Staff146,LPN,24
31,Staff160,LPN,19
31,Staff164,CN,1
31,Staff166,RN,5
31,Staff167,RN,5
31,Staff169,RN,4
39,Staff3,LPN,9
39,Staff5,LPN,21
39,Staff7,CN,2
39,Staff10,CN,0
39,Staff14,LPN,19
39,Staff15,CN,3
39,Staff19,CN,3
39,Staff20,CN,3
39,Staff21,CN,2
39,Staff24,CN,1
39,Staff27,CN,2
39,Staff30,LPN,23
39,Staff31,CN,1
39,Staff42,CN,3
39,Staff49,CN,2
39,Staff53,CN,2
39,Staff55,CN,3
39,Staff56,CN,4
39,Staff58,CN,1
39,Staff59,RN,5
39,Staff60,CN,2
39,Staff62,CN,4
39,Staff68,CN,2
39,Staff69,CN,3
39,Staff71,CN,1
39,Staff73,CN,1
39,Staff74,CN,1
39,Staff77,CN,3
39,Staff82,RN,6
39,Staff86,CN,2
39,Staff89,RN,3
39,Staff94,CN,1
39,Staff103,CN,2
39,Staff105,CN,4
39,Staff108,CN,3
39,Staff109,CN,2
39,Staff113,CN,2
39,Staff114,LPN,26
39,Staff118,CN,4
39,Staff125,CN,2
39,Staff130,CN,2
39,Staff132,CN,1
39,Staff134,CN,5
39,Staff136,LPN,15
39,Staff138,CN,2
39,Staff139,CN,2
39,Staff141,CN,3
39,Staff142,CN,6
39,Staff143,CN,3
39,Staff148,CN,0
39,Staff149,LPN,21
39,Staff150,CN,2
39,Staff151,RN,4
39,Staff152,CN,1
39,Staff153,CN,0
39,Staff154,CN,3
39,Staff156,CN,0
39,Staff157,CN,3
39,Staff158,CN,4
39,Staff161,CN,3
39,Staff162,CN,1
39,Staff163,RN,7
39,Staff165,CN,2
47,Staff0,CN,0
47,Staff1,CN,2
47,Staff2,RN,4
47,Staff4,RN,5
47,Staff6,CN,0
47,Staff8,LPN,11
47,Staff12,CN,1
47,Staff13,CN,4
47,Staff16,CN,2
47,Staff17,CN,3
47,Staff18,CN,1
47,Staff23,LPN,14
47,Staff26,RN,5
47,Staff28,CN,2
47,Staff29,CN,1
47,Staff33,RN,7
47,Staff36,CN,3
47,Staff37,RN,6
47,Staff39,CN,4
47,Staff40,CN,0
47,Staff44,RN,7
47,Staff45,CN,3
47,Staff46,RN,6
47,Staff47,CN,2
47,Staff51,LPN,19
47,Staff52,CN,4
47,Staff54,CN,2
47,Staff57,CN,2
47,Staff61,CN,2
47,Staff70,CN,1
47,Staff72,CN,2
47,Staff75,RN,5
47,Staff76,CN,3
47,Staff79,CN,4
47,Staff80,CN,2
47,Staff83,CN,5
47,Staff84,CN,1
47,Staff87,CN,1
47,Staff88,RN,4
47,Staff90,RN,5
47,Staff92,LPN,19
47,Staff95,CN,3
47,Staff96,CN,3
47,Staff97,CN,1
47,Staff98,LPN,22
47,Staff99,CN,2
47,Staff100,CN,3
47,Staff101,CN,1
47,Staff102,CN,1
47,Staff104,CN,3
47,Staff106,CN,0
47,Staff107,CN,2
47,Staff110,CN,3
47,Staff111,RN,7
47,Staff112,RN,5
47,Staff115,CN,4
47,Staff119,CN,1
47,Staff120,CN,2
47,Staff121,CN,3
47,Staff123,CN,1
47,Staff124,CN,1
47,Staff126,CN,1
47,Staff127,CN,2
47,Staff128,RN,5
47,Staff133,CN,1
47,Staff137,CN,0
47,Staff140,CN,2
47,Staff144,LPN,24
47,Staff145,LPN,21
47,Staff147,RN,5
47,Staff155,CN,1
47,Staff159,CN,1
47,Staff168,RN,5
55,Staff9,CN,2
55,Staff11,CN,3
55,Staff22,CN,3
55,Staff25,CN,1
55,Staff32,CN,2
55,Staff34,RN,5
55,Staff35,CN,1
55,Staff38,CN,2
55,Staff41,CN,1
55,Staff43,RN,6
55,Staff48,CN,2
55,Staff50,CN,3
55,Staff63,CN,6
55,Staff64,CN,2
55,Staff65,CN,2
55,Staff66,CN,2
55,Staff67,CN,1
55,Staff78,CN,2
55,Staff81,CN,0
55,Staff85,CN,2
55,Staff91,CN,3
55,Staff93,CN,2
55,Staff116,RN,6
55,Staff117,CN,2
55,Staff122,CN,0
55,Staff129,CN,2
55,Staff131,CN,1
55,Staff135,RN,5
55,Staff146,LPN,25
55,Staff160,LPN,23
55,Staff164,CN,2
55,Staff166,RN,3
55,Staff167,RN,7
55,Staff169,RN,6
63,Staff3,LPN,25
63,Staff5,LPN,14
63,Staff7,CN,1
63,Staff10,CN,2
63,Staff14,LPN,21
63,Staff15,CN,2
63,Staff19,CN,1
63,Staff20,CN,1
63,Staff21,CN,2
63,Staff24,CN,6
63,Staff27,CN,3
63,Staff30,LPN,22
63,Staff31,CN,3
63,Staff42,CN,4
63,Staff49,CN,2
63,Staff53,CN,0
63,Staff55,CN,2
63,Staff56,CN,1
63,Staff58,CN,1
63,Staff59,RN,6
63,Staff60,CN,3
63,Staff62,CN,1
63,Staff68,CN,4
63,Staff69,CN,3
63,Staff71,CN,4
63,Staff73,CN,1
63,Staff74,CN,5
63,Staff77,CN,4
63,Staff82,RN,7
63,Staff86,CN,1
63,Staff89,RN,4
63,Staff94,CN,5
63,Staff103,CN,3
63,Staff105,CN,3
63,Staff108,CN,2
63,Staff109,CN,3
63,Staff113,CN,1
63,Staff114,LPN,22
63,Staff118,CN,2
63,Staff125,CN,1
63,Staff130,CN,3
63,Staff132,CN,4
63,Staff134,CN,2
63,Staff136,LPN,16
63,Staff138,CN,0
63,Staff139,CN,3
63,Staff141,CN,4
63,Staff142,CN,1
63,Staff143,CN,1
63,Staff148,CN,2
63,Staff149,LPN,20
63,Staff150,CN,3
63,Staff151,RN,6
63,Staff152,CN,2
63,Staff153,CN,2
63,Staff154,CN,3
63,Staff156,CN,4
63,Staff157,CN,4
63,Staff158,CN,2
63,Staff161,CN,0
63,Staff162,CN,1
63,Staff163,RN,7
63,Staff165,CN,2
71,Staff0,CN,3
71,Staff1,CN,4
71,Staff2,RN,6
71,Staff4,RN,5
71,Staff6,CN,1
71,Staff8,LPN,16
71,Staff12,CN,3
71,Staff13,CN,2
71,Staff16,CN,4
71,Staff17,CN,1
71,Staff18,CN,1
71,Staff23,LPN,26
71,Staff26,RN,7
71,Staff28,CN,2
71,Staff29,CN,1
71,Staff33,RN,6
71,Staff36,CN,2
71,Staff37,RN,6
71,Staff39,CN,2
71,Staff40,CN,0
