cycle,name,Type,ResTurn
7,Staff10,CN,0
7,Staff11,CN,0
7,Staff12,CN,0
7,Staff19,CN,0
7,Staff22,CN,0
7,Staff24,CN,0
7,Staff31,CN,0
7,Staff36,RN,0
7,Staff40,CN,0
7,Staff41,CN,0
7,Staff42,CN,0
7,Staff64,CN,0
7,Staff67,CN,0
7,Staff70,CN,0
7,Staff74,CN,0
7,Staff79,LPN,0
7,Staff82,CN,0
7,Staff87,CN,0
7,Staff91,CN,0
7,Staff98,RN,0
7,Staff102,LPN,0
7,Staff105,LPN,0
7,Staff111,CN,0
7,Staff112,CN,0
7,Staff115,CN,0
7,Staff118,RN,0
7,Staff122,LPN,0
7,Staff125,LPN,0
7,Staff126,LPN,0
7,Staff133,LPN,0
7,Staff134,CN,0
7,Staff147,RN,0
7,Staff148,CN,0
7,Staff158,CN,0
7,Staff161,LPN,0
7,Staff165,CN,0
15,Staff0,CN,0
15,Staff1,RN,0
15,Staff2,LPN,0
15,Staff15,CN,0
15,Staff18,CN,0
15,Staff26,CN,0
15,Staff32,RN,0
15,Staff33,RN,0
15,Staff35,CN,0
15,Staff37,CN,0
15,Staff38,CN,0
15,Staff44,LPN,0
15,Staff46,CN,0
15,Staff47,CN,0
15,Staff48,LPN,0
15,Staff49,CN,0
15,Staff50,CN,0
15,Staff51,RN,0
15,Staff53,CN,0
15,Staff55,CN,0
15,Staff57,CN,0
15,Staff59,CN,0
15,Staff63,CN,0
15,Staff69,RN,0
15,Staff71,CN,0
15,Staff77,CN,0
15,Staff78,RN,0
15,Staff80,LPN,0
15,Staff84,CN,0
15,Staff85,RN,0
15,Staff86,CN,0
15,Staff88,RN,0
15,Staff99,CN,0
15,Staff103,CN,0
15,Staff104,CN,0
15,Staff106,LPN,0
15,Staff108,CN,0
15,Staff113,CN,0
15,Staff119,RN,0
15,Staff120,CN,0
15,Staff124,CN,0
15,Staff128,CN,0
15,Staff130,RN,0
15,Staff136,CN,0
15,Staff137,LPN,0
15,Staff138,CN,0
15,Staff139,CN,0
15,Staff140,CN,0
15,Staff141,CN,0
15,Staff144,CN,0
15,Staff149,CN,0
15,Staff151,CN,0
15,Staff152,LPN,0
15,Staff154,CN,0
15,Staff155,CN,0
15,Staff156,CN,0
15,Staff160,CN,0
15,Staff163,RN,0
23,Staff3,CN,1
23,Staff4,CN,1
23,Staff5,RN,4
23,Staff6,CN,3
23,Staff7,RN,4
23,Staff8,CN,3
23,Staff9,CN,3
23,Staff13,CN,5
23,Staff14,RN,6
23,Staff16,LPN,14
23,Staff17,CN,2
23,Staff20,RN,5
23,Staff21,CN,0
23,Staff23,LPN,15
23,Staff25,CN,2
23,Staff27,CN,2
23,Staff28,CN,3
23,Staff29,LPN,25
23,Staff30,LPN,19
23,Staff34,CN,1
23,Staff39,LPN,17
23,Staff43,CN,4
23,Staff45,RN,6
23,Staff52,LPN,19
23,Staff54,CN,4
23,Staff56,LPN,17
23,Staff58,CN,0
23,Staff60,CN,1
23,Staff61,RN,6
23,Staff62,CN,1
23,Staff65,LPN,20
23,Staff66,CN,3
23,Staff68,RN,3
23,Staff72,CN,1
23,Staff73,LPN,15
23,Staff75,RN,4
23,Staff76,CN,2
23,Staff81,RN,5
23,Staff83,CN,2
23,Staff89,CN,2
23,Staff90,CN,2
23,Staff92,CN,4
23,Staff93,RN,5
23,Staff94,LPN,16
23,Staff95,CN,1
23,Staff96,RN,5
23,Staff97,RN,5
23,Staff100,CN,5
23,Staff101,CN,4
23,Staff107,CN,1
23,Staff109,RN,5
23,Staff110,CN,3
23,Staff114,RN,4
23,Staff116,CN,1
23,Staff117,RN,6
23,Staff121,CN,2
23,Staff123,RN,4
23,Staff127,CN,1
23,Staff129,CN,1
23,Staff131,CN,0
23,Staff132,CN,3
23,Staff135,RN,5
23,Staff142,CN,3
23,Staff143,CN,4
23,Staff145,CN,3
23,Staff146,RN,5
23,Staff150,RN,4
23,Staff153,CN,2
23,Staff157,LPN,16
23,Staff159,CN,3
23,Staff162,CN,2
23,Staff164,CN,3
23,Staff166,CN,2
23,Staff167,LPN,17
23,Staff168,RN,5
23,Staff169,CN,3
31,Staff10,CN,2
31,Staff11,CN,1
31,Staff12,CN,1
31,Staff19,CN,1
31,Staff22,CN,2
31,Staff24,CN,2
31,Staff31,CN,0
31,Staff36,RN,6
31,Staff40,CN,1
31,Staff41,CN,3
31,Staff42,CN,1
31,Staff64,CN,3
31,Staff67,CN,3
31,Staff70,CN,1
31,Staff74,CN,3
31,Staff79,LPN,14
31,Staff82,CN,2
31,Staff87,CN,2
31,Staff91,CN,4
31,Staff98,RN,3
31,Staff102,LPN,23
31,Staff105,LPN,26
31,Staff111,CN,0
31,Staff112,CN,4
31,Staff115,CN,2
31,Staff118,RN,4
31,Staff122,LPN,14
31,Staff125,LPN,22
31,Staff126,LPN,20
31,Staff133,LPN,15
31,Staff134,CN,1
31,Staff147,RN,5
31,Staff148,CN,3
31,Staff158,CN,2
31,Staff161,LPN,14
31,Staff165,CN,3
39,Staff0,CN,2
39,Staff1,RN,6
39,Staff2,LPN,28
39,Staff15,CN,1
39,Staff18,CN,4
39,Staff26,CN,3
39,Staff32,RN,6
39,Staff33,RN,7
39,Staff35,CN,3
39,Staff37,CN,2
39,Staff38,CN,1
39,Staff44,LPN,17
39,Staff46,CN,1
39,Staff47,CN,2
39,Staff48,LPN,14
39,Staff49,CN,3
39,Staff50,CN,1
39,Staff51,RN,2
39,Staff53,CN,2
39,Staff55,CN,3
39,Staff57,CN,1
39,Staff59,CN,2
39,Staff63,CN,2
39,Staff69,RN,6
39,Staff71,CN,1
39,Staff77,CN,1
39,Staff78,RN,5
39,Staff80,LPN,23
39,Staff84,CN,4
39,Staff85,RN,7
39,Staff86,CN,2
39,Staff88,RN,6
39,Staff99,CN,3
39,Staff103,CN,1
39,Staff104,CN,4
39,Staff106,LPN,15
39,Staff108,CN,2
39,Staff113,CN,3
39,Staff119,RN,4
39,Staff120,CN,1
39,Staff124,CN,3
39,Staff128,CN,3
39,Staff130,RN,4
39,Staff136,CN,0
39,Staff137,LPN,21
39,Staff138,CN,1
39,Staff139,CN,2
39,Staff140,CN,4
39,Staff141,CN,4
39,Staff144,CN,1
39,Staff149,CN,5
39,Staff151,CN,3
39,Staff152,LPN,22
39,Staff154,CN,3
39,Staff155,CN,0
39,Staff156,CN,5
39,Staff160,CN,5
39,Staff163,RN,6
47,Staff3,CN,0
47,Staff4,CN,0
47,Staff5,RN,5
47,Staff6,CN,1
47,Staff7,RN,5
47,Staff8,CN,3
47,Staff9,CN,4
47,Staff13,CN,2
47,Staff14,RN,3
47,Staff16,LPN,15
47,Staff17,CN,1
47,Staff20,RN,7
47,Staff21,CN,2
47,Staff23,LPN,20
47,Staff25,CN,1
47,Staff27,CN,2
47,Staff28,CN,2
47,Staff29,LPN,29
47,Staff30,LPN,24
47,Staff34,CN,2
47,Staff39,LPN,25
47,Staff43,CN,2
47,Staff45,RN,4
47,Staff52,LPN,23
47,Staff54,CN,2
47,Staff56,LPN,18
47,Staff58,CN,0
