cycle,name,Type,ResTurn
7,Staff15,CN,0
7,Staff16,LPN,0
7,Staff19,LPN,0
7,Staff21,LPN,0
7,Staff23,CN,0
7,Staff26,CN,0
7,Staff27,LPN,0
7,Staff39,CN,0
7,Staff42,RN,0
7,Staff55,CN,0
7,Staff59,RN,0
7,Staff60,RN,0
7,Staff61,CN,0
7,Staff65,LPN,0
7,Staff71,CN,0
7,Staff75,CN,0
7,Staff84,LPN,0
7,Staff85,CN,0
7,Staff86,CN,0
7,Staff87,CN,0
7,Staff88,CN,0
7,Staff91,CN,0
7,Staff97,CN,0
7,Staff101,CN,0
7,Staff107,RN,0
7,Staff114,CN,0
7,Staff117,LPN,0
7,Staff120,CN,0
7,Staff133,CN,0
7,Staff143,CN,0
7,Staff147,CN,0
7,Staff158,CN,0
7,Staff162,CN,0
7,Staff167,CN,0
15,Staff0,RN,0
15,Staff2,CN,0
15,Staff6,CN,0
15,Staff7,CN,0
15,Staff8,CN,0
15,Staff9,CN,0
15,Staff10,CN,0
15,Staff13,CN,0
15,Staff18,CN,0
15,Staff24,CN,0
15,Staff25,CN,0
15,Staff29,CN,0
15,Staff30,LPN,0
15,Staff33,CN,0
15,Staff35,CN,0
15,Staff38,LPN,0
15,Staff40,CN,0
15,Staff41,LPN,0
15,Staff44,CN,0
15,Staff49,CN,0
15,Staff51,RN,0
15,Staff57,CN,0
15,Staff62,RN,0
15,Staff67,CN,0
15,Staff70,CN,0
15,Staff72,LPN,0
15,Staff73,CN,0
15,Staff77,LPN,0
15,Staff81,CN,0
15,Staff83,LPN,0
15,Staff89,CN,0
15,Staff90,CN,0
15,Staff92,CN,0
15,Staff94,LPN,0
15,Staff95,CN,0
15,Staff96,CN,0
15,Staff98,CN,0
15,Staff100,LPN,0
15,Staff106,CN,0
15,Staff108,RN,0
15,Staff111,RN,0
15,Staff115,CN,0
15,Staff119,CN,0
15,Staff121,RN,0
15,Staff122,CN,0
15,Staff124,CN,0
15,Staff130,RN,0
15,Staff131,CN,0
15,Staff132,CN,0
15,Staff145,CN,0
15,Staff146,CN,0
15,Staff151,CN,0
15,Staff155,CN,0
15,Staff156,RN,0
15,Staff157,CN,0
15,Staff160,CN,0
15,Staff161,CN,0
15,Staff163,CN,0
15,Staff164,CN,0
15,Staff165,CN,0
15,Staff168,CN,0
23,Staff1,CN,3
23,Staff3,LPN,16
23,Staff4,RN,4
23,Staff5,CN,3
23,Staff11,CN,2
23,Staff12,CN,1
23,Staff14,LPN,24
23,Staff17,CN,2
23,Staff20,LPN,8
23,Staff22,CN,1
23,Staff28,LPN,14
23,Staff31,LPN,24
23,Staff32,RN,3
23,Staff34,CN,2
23,Staff36,CN,2
23,Staff37,CN,1
23,Staff43,CN,0
23,Staff45,CN,2
23,Staff46,CN,3
23,Staff47,CN,1
23,Staff48,RN,5
23,Staff50,CN,1
23,Staff52,CN,2
23,Staff53,CN,2
23,Staff54,RN,5
23,Staff56,CN,2
23,Staff58,CN,2
23,Staff63,CN,2
23,Staff64,RN,4
23,Staff66,CN,4
23,Staff68,LPN,14
23,Staff69,CN,2
23,Staff74,CN,2
23,Staff76,RN,6
23,Staff78,LPN,21
23,Staff79,CN,2
23,Staff80,CN,4
23,Staff82,CN,3
23,Staff93,RN,6
23,Staff99,CN,0
23,Staff102,CN,3
23,Staff103,CN,3
23,Staff104,LPN,17
23,Staff105,CN,1
23,Staff109,RN,6
23,Staff110,CN,1
23,Staff112,RN,4
23,Staff113,CN,1
23,Staff116,CN,2
23,Staff118,CN,2
23,Staff123,LPN,18
23,Staff125,CN,4
23,Staff126,RN,4
23,Staff127,CN,2
23,Staff128,RN,6
23,Staff129,CN,2
23,Staff134,RN,4
23,Staff135,CN,4
23,Staff136,LPN,13
23,Staff137,CN,3
23,Staff138,CN,1
23,Staff139,CN,3
23,Staff140,CN,3
23,Staff141,CN,1
23,Staff142,CN,3
23,Staff144,CN,3
23,Staff148,CN,3
23,Staff149,CN,2
23,Staff150,CN,2
23,Staff152,CN,1
23,Staff153,CN,2
23,Staff154,CN,2
23,Staff159,CN,2
23,Staff166,CN,2
23,Staff169,CN,1
31,Staff15,CN,2
31,Staff16,LPN,25
31,Staff19,LPN,19
31,Staff21,LPN,13
31,Staff23,CN,5
31,Staff26,CN,2
31,Staff27,LPN,12
31,Staff39,CN,1
31,Staff42,RN,5
31,Staff55,CN,0
31,Staff59,RN,6
31,Staff60,RN,5
31,Staff61,CN,1
31,Staff65,LPN,19
31,Staff71,CN,1
31,Staff75,CN,1
31,Staff84,LPN,23
31,Staff85,CN,2
31,Staff86,CN,3
31,Staff87,CN,4
31,Staff88,CN,1
31,Staff91,CN,2
31,Staff97,CN,2
31,Staff101,CN,0
31,Staff107,RN,3
31,Staff114,CN,2
31,Staff117,LPN,20
31,Staff120,CN,0
31,Staff133,CN,0
31,Staff143,CN,3
31,Staff147,CN,3
31,Staff158,CN,1
31,Staff162,CN,2
31,Staff167,CN,1
39,Staff0,RN,7
39,Staff2,CN,3
39,Staff6,CN,2
39,Staff7,CN,0
39,Staff8,CN,2
39,Staff9,CN,2
39,Staff10,CN,1
39,Staff13,CN,2
39,Staff18,CN,2
39,Staff24,CN,1
39,Staff25,CN,1
39,Staff29,CN,1
39,Staff30,LPN,24
39,Staff33,CN,0
39,Staff35,CN,3
39,Staff38,LPN,20
39,Staff40,CN,0
39,Staff41,LPN,15
39,Staff44,CN,3
39,Staff49,CN,2
39,Staff51,RN,4
39,Staff57,CN,1
39,Staff62,RN,5
39,Staff67,CN,3
39,Staff70,CN,1
39,Staff72,LPN,18
39,Staff73,CN,2
39,Staff77,LPN,18
39,Staff81,CN,3
39,Staff83,LPN,19
39,Staff89,CN,1
39,Staff90,CN,2
39,Staff92,CN,3
39,Staff94,LPN,23
39,Staff95,CN,2
39,Staff96,CN,4
39,Staff98,CN,1
39,Staff100,LPN,23
39,Staff106,CN,3
39,Staff108,RN,4
39,Staff111,RN,4
39,Staff115,CN,3
39,Staff119,CN,3
39,Staff121,RN,4
39,Staff122,CN,3
39,Staff124,CN,3
39,Staff130,RN,7
39,Staff131,CN,1
39,Staff132,CN,2
39,Staff145,CN,2
39,Staff146,CN,2
39,Staff151,CN,3
39,Staff155,CN,5
39,Staff156,RN,2
39,Staff157,CN,3
39,Staff160,CN,2
39,Staff161,CN,2
39,Staff163,CN,2
39,Staff164,CN,2
39,Staff165,CN,0
39,Staff168,CN,1
47,Staff1,CN,1
47,Staff3,LPN,15
47,Staff4,RN,5
47,Staff5,CN,1
47,Staff11,CN,4
47,Staff12,CN,1
47,Staff14,LPN,18
47,Staff17,CN,2
47,Staff20,LPN,24
47,Staff22,CN,3
47,Staff28,LPN,25
