cycle,name,Type,ResTurn
7,Staff8,LPN,0
7,Staff22,LPN,0
7,Staff30,CN,0
7,Staff36,RN,0
7,Staff40,LPN,0
7,Staff44,CN,0
7,Staff45,LPN,0
7,Staff49,CN,0
7,Staff52,CN,0
7,Staff55,LPN,0
7,Staff56,LPN,0
7,Staff57,CN,0
7,Staff58,CN,0
7,Staff61,CN,0
7,Staff70,CN,0
7,Staff75,RN,0
7,Staff76,LPN,0
7,Staff80,CN,0
7,Staff83,CN,0
7,Staff86,LPN,0
7,Staff88,CN,0
7,Staff89,CN,0
7,Staff90,CN,0
7,Staff94,LPN,0
7,Staff114,LPN,0
7,Staff118,CN,0
7,Staff127,CN,0
7,Staff140,RN,0
7,Staff144,CN,0
7,Staff147,LPN,0
7,Staff157,CN,0
7,Staff159,CN,0
7,Staff165,CN,0
7,Staff166,RN,0
15,Staff2,CN,0
15,Staff3,CN,0
15,Staff6,CN,0
15,Staff9,CN,0
15,Staff10,CN,0
15,Staff11,CN,0
15,Staff12,CN,0
15,Staff16,LPN,0
15,Staff20,CN,0
15,Staff21,CN,0
15,Staff24,CN,0
15,Staff25,CN,0
15,Staff26,CN,0
15,Staff35,CN,0
15,Staff38,CN,0
15,Staff39,LPN,0
15,Staff42,LPN,0
15,Staff43,CN,0
15,Staff48,CN,0
15,Staff50,CN,0
15,Staff51,CN,0
15,Staff53,CN,0
15,Staff54,CN,0
15,Staff62,CN,0
15,Staff63,LPN,0
15,Staff65,CN,0
15,Staff68,RN,0
15,Staff71,CN,0
15,Staff72,RN,0
15,Staff77,CN,0
15,Staff78,CN,0
15,Staff79,CN,0
15,Staff81,RN,0
15,Staff92,LPN,0
15,Staff93,LPN,0
15,Staff95,CN,0
15,Staff97,RN,0
15,Staff101,LPN,0
15,Staff106,CN,0
15,Staff108,CN,0
15,Staff110,CN,0
15,Staff111,CN,0
15,Staff112,CN,0
15,Staff115,CN,0
15,Staff116,CN,0
15,Staff117,CN,0
15,Staff120,LPN,0
15,Staff125,LPN,0
15,Staff126,LPN,0
15,Staff128,CN,0
15,Staff129,CN,0
15,Staff130,LPN,0
15,Staff131,LPN,0
15,Staff133,LPN,0
15,Staff135,CN,0
15,Staff136,CN,0
15,Staff138,CN,0
15,Staff139,RN,0
15,Staff146,CN,0
15,Staff149,CN,0
15,Staff151,CN,0
15,Staff156,CN,0
15,Staff161,CN,0
15,Staff162,CN,0
15,Staff163,RN,0
15,Staff164,CN,0
15,Staff167,CN,0
15,Staff168,CN,0
15,Staff169,CN,0
23,Staff0,CN,1
23,Staff1,CN,2
23,Staff4,RN,6
23,Staff5,CN,2
23,Staff7,CN,0
23,Staff13,LPN,18
23,Staff14,CN,1
23,Staff15,CN,3
23,Staff17,CN,2
23,Staff18,RN,3
23,Staff19,CN,2
23,Staff23,CN,3
23,Staff27,LPN,11
23,Staff28,CN,2
23,Staff29,CN,2
23,Staff31,CN,2
23,Staff32,CN,0
23,Staff33,LPN,24
23,Staff34,CN,0
23,Staff37,CN,2
23,Staff41,CN,0
23,Staff46,CN,1
23,Staff47,CN,1
23,Staff59,RN,5
23,Staff60,CN,2
23,Staff64,RN,3
23,Staff66,LPN,16
23,Staff67,CN,0
23,Staff69,CN,2
23,Staff73,CN,2
23,Staff74,RN,6
23,Staff82,CN,3
23,Staff84,RN,3
23,Staff85,CN,4
23,Staff87,CN,3
23,Staff91,CN,3
23,Staff96,CN,4
23,Staff98,LPN,24
23,Staff99,LPN,15
23,Staff100,CN,1
23,Staff102,CN,2
23,Staff103,CN,2
23,Staff104,CN,1
23,Staff105,CN,2
23,Staff107,CN,1
23,Staff109,CN,1
23,Staff113,CN,3
23,Staff119,LPN,19
23,Staff121,CN,1
23,Staff122,CN,3
23,Staff123,CN,3
23,Staff124,CN,2
23,Staff132,LPN,13
23,Staff134,RN,2
23,Staff137,CN,3
23,Staff141,CN,3
