cycle,name,Type,ResTurn
7,Staff0,CN,0
7,Staff5,CN,0
7,Staff8,CN,0
7,Staff13,CN,0
7,Staff14,CN,0
7,Staff17,RN,0
7,Staff19,LPN,0
7,Staff22,CN,0
7,Staff34,CN,0
7,Staff44,CN,0
7,Staff51,CN,0
7,Staff52,CN,0
7,Staff68,CN,0
7,Staff74,CN,0
7,Staff78,LPN,0
7,Staff80,RN,0
7,Staff86,CN,0
7,Staff88,CN,0
7,Staff97,CN,0
7,Staff104,CN,0
7,Staff114,CN,0
7,Staff121,CN,0
7,Staff126,RN,0
7,Staff139,RN,0
7,Staff150,RN,0
7,Staff161,CN,0
7,Staff163,CN,0
7,Staff167,CN,0
15,Staff1,CN,0
15,Staff2,RN,0
15,Staff6,CN,0
15,Staff7,CN,0
15,Staff15,CN,0
15,Staff20,CN,0
15,Staff21,RN,0
15,Staff25,RN,0
15,Staff27,CN,0
15,Staff35,CN,0
15,Staff36,CN,0
15,Staff39,RN,0
15,Staff46,RN,0
15,Staff48,CN,0
15,Staff49,CN,0
15,Staff54,LPN,0
15,Staff56,CN,0
15,Staff57,CN,0
15,Staff59,CN,0
15,Staff60,CN,0
15,Staff65,LPN,0
15,Staff66,RN,0
15,Staff67,CN,0
15,Staff70,CN,0
15,Staff71,CN,0
15,Staff75,CN,0
15,Staff77,RN,0
15,Staff83,LPN,0
15,Staff84,CN,0
15,Staff87,CN,0
15,Staff89,CN,0
15,Staff91,CN,0
15,Staff93,LPN,0
15,Staff94,CN,0
15,Staff96,RN,0
15,Staff98,RN,0
15,Staff101,LPN,0
15,Staff105,CN,0
15,Staff106,LPN,0
15,Staff110,RN,0
15,Staff111,RN,0
15,Staff112,CN,0
15,Staff115,CN,0
15,Staff116,CN,0
15,Staff117,CN,0
15,Staff118,CN,0
15,Staff120,LPN,0
15,Staff122,LPN,0
15,Staff123,CN,0
15,Staff124,CN,0
15,Staff131,CN,0
15,Staff133,CN,0
15,Staff134,CN,0
15,Staff135,CN,0
15,Staff137,CN,0
15,Staff138,CN,0
15,Staff143,CN,0
15,Staff145,CN,0
15,Staff146,CN,0
