cycle,name,Type,ResTurn
7,Staff0,CN,0
7,Staff9,RN,0
7,Staff13,CN,0
7,Staff19,CN,0
7,Staff21,CN,0
7,Staff25,CN,0
7,Staff27,CN,0
7,Staff29,LPN,0
7,Staff32,CN,0
7,Staff35,CN,0
7,Staff39,CN,0
7,Staff41,CN,0
7,Staff42,CN,0
7,Staff44,CN,0
7,Staff46,LPN,0
7,Staff56,CN,0
7,Staff67,CN,0
7,Staff68,CN,0
7,Staff78,LPN,0
7,Staff79,CN,0
7,Staff80,RN,0
7,Staff95,CN,0
7,Staff98,CN,0
7,Staff102,LPN,0
7,Staff107,CN,0
7,Staff108,CN,0
7,Staff111,CN,0
7,Staff115,CN,0
7,Staff117,CN,0
7,Staff119,CN,0
7,Staff124,CN,0
7,Staff130,CN,0
7,Staff132,CN,0
7,Staff134,RN,0
7,Staff140,CN,0
7,Staff148,RN,0
7,Staff150,CN,0
7,Staff157,LPN,0
7,Staff164,CN,0
7,Staff167,CN,0
7,Staff168,CN,0
15,Staff3,CN,0
15,Staff4,CN,0
15,Staff7,LPN,0
15,Staff8,CN,0
15,Staff12,CN,0
15,Staff14,CN,0
15,Staff16,CN,0
15,Staff18,RN,0
15,Staff20,CN,0
15,Staff23,CN,0
15,Staff26,LPN,0
15,Staff33,RN,0
15,Staff34,RN,0
15,Staff36,CN,0
15,Staff38,CN,0
15,Staff47,CN,0
15,Staff48,CN,0
15,Staff49,CN,0
15,Staff50,CN,0
15,Staff51,CN,0
15,Staff54,RN,0
15,Staff55,RN,0
15,Staff58,RN,0
15,Staff59,CN,0
15,Staff61,CN,0
15,Staff62,CN,0
15,Staff63,CN,0
15,Staff64,CN,0
15,Staff65,RN,0
15,Staff70,CN,0
15,Staff72,LPN,0
15,Staff73,CN,0
15,Staff74,RN,0
15,Staff76,CN,0
15,Staff82,CN,0
15,Staff85,CN,0
15,Staff86,CN,0
15,Staff87,CN,0
15,Staff89,CN,0
15,Staff91,CN,0
15,Staff92,CN,0
15,Staff97,CN,0
