cycle,name,Type,ResTurn
7,Staff4,CN,0
7,Staff9,CN,0
7,Staff13,CN,0
7,Staff14,RN,0
7,Staff29,CN,0
7,Staff33,CN,0
7,Staff36,LPN,0
7,Staff37,CN,0
7,Staff45,RN,0
7,Staff53,CN,0
7,Staff57,CN,0
7,Staff58,CN,0
7,Staff60,CN,0
7,Staff64,CN,0
7,Staff72,RN,0
7,Staff76,CN,0
7,Staff77,CN,0
7,Staff80,RN,0
7,Staff89,LPN,0
7,Staff90,CN,0
7,Staff91,LPN,0
7,Staff100,CN,0
7,Staff102,CN,0
7,Staff103,CN,0
7,Staff105,RN,0
7,Staff112,CN,0
7,Staff114,RN,0
7,Staff116,RN,0
7,Staff120,RN,0
7,Staff121,CN,0
7,Staff125,LPN,0
7,Staff126,CN,0
7,Staff128,CN,0
7,Staff129,CN,0
7,Staff130,CN,0
7,Staff146,CN,0
7,Staff151,RN,0
7,Staff157,CN,0
15,Staff1,CN,0
15,Staff2,LPN,0
15,Staff3,RN,0
15,Staff5,RN,0
15,Staff6,CN,0
15,Staff11,CN,0
15,Staff15,CN,0
15,Staff17,CN,0
15,Staff19,LPN,0
15,Staff20,CN,0
15,Staff22,CN,0
15,Staff23,CN,0
15,Staff25,RN,0
15,Staff26,CN,0
15,Staff27,LPN,0
15,Staff28,CN,0
15,Staff30,CN,0
15,Staff31,CN,0
15,Staff32,CN,0
15,Staff35,CN,0
15,Staff38,CN,0
15,Staff39,CN,0
15,Staff42,CN,0
15,Staff46,CN,0
15,Staff47,LPN,0
15,Staff48,RN,0
15,Staff49,CN,0
15,Staff51,CN,0
15,Staff54,CN,0
15,Staff56,CN,0
15,Staff59,LPN,0
15,Staff61,RN,0
15,Staff62,CN,0
15,Staff63,CN,0
15,Staff65,CN,0
15,Staff67,RN,0
15,Staff69,CN,0
15,Staff70,RN,0
15,Staff74,CN,0
15,Staff78,CN,0
15,Staff81,CN,0
15,Staff82,CN,0
15,Staff84,LPN,0
15,Staff85,CN,0
15,Staff86,CN,0
15,Staff87,RN,0
15,Staff92,CN,0
15,Staff94,CN,0
15,Staff95,CN,0
15,Staff98,CN,0
15,Staff101,CN,0
15,Staff104,RN,0
15,Staff106,LPN,0
15,Staff110,CN,0
15,Staff111,LPN,0
15,Staff123,LPN,0
15,Staff131,CN,0
15,Staff132,CN,0
15,Staff135,CN,0
15,Staff137,LPN,0
15,Staff139,RN,0
15,Staff141,CN,0
15,Staff143,CN,0
15,Staff145,CN,0
15,Staff147,CN,0
15,Staff148,RN,0
15,Staff149,RN,0
15,Staff152,CN,0
15,Staff153,CN,0
15,Staff154,CN,0
15,Staff155,LPN,0
15,Staff159,RN,0
15,Staff163,CN,0
15,Staff164,CN,0
15,Staff167,RN,0
15,Staff168,CN,0
23,Staff0,CN,2
23,Staff7,LPN,20
23,Staff8,CN,3
23,Staff10,CN,3
23,Staff12,CN,1
23,Staff16,RN,4
23,Staff18,RN,5
23,Staff21,CN,2
23,Staff24,CN,3
23,Staff34,CN,1
23,Staff40,CN,1
23,Staff41,CN,3
23,Staff43,RN,5
23,Staff44,CN,1
23,Staff50,CN,2
23,Staff52,CN,2
23,Staff55,CN,0
23,Staff66,RN,4
23,Staff68,CN,1
23,Staff71,RN,4
23,Staff73,RN,3
23,Staff75,CN,4
23,Staff79,CN,3
23,Staff83,CN,2
23,Staff88,CN,1
23,Staff93,CN,1
23,Staff96,CN,3
23,Staff97,RN,4
23,Staff99,CN,1
23,Staff107,CN,1
23,Staff108,LPN,2
23,Staff109,LPN,16
23,Staff113,CN,2
23,Staff115,RN,6
23,Staff117,CN,1
23,Staff118,CN,1
23,Staff119,CN,0
23,Staff122,CN,1
23,Staff124,CN,3
23,Staff127,CN,4
23,Staff133,LPN,10
23,Staff134,CN,2
23,Staff136,CN,2
23,Staff138,LPN,19
23,Staff140,CN,1
23,Staff142,CN,4
23,Staff144,RN,5
23,Staff150,CN,1
23,Staff156,CN,3
23,Staff158,CN,2
23,Staff160,CN,1
23,Staff161,LPN,18
23,Staff162,CN,3
23,Staff165,LPN,20
23,Staff166,LPN,15
23,Staff169,RN,6
31,Staff4,CN,3
31,Staff9,CN,5
31,Staff13,CN,1
31,Staff14,RN,6
31,Staff29,CN,3
31,Staff33,CN,2
31,Staff36,LPN,28
31,Staff37,CN,1
31,Staff45,RN,6
31,Staff53,CN,2
31,Staff57,CN,0
31,Staff58,CN,1
31,Staff60,CN,1
31,Staff64,CN,2
31,Staff72,RN,4
31,Staff76,CN,1
31,Staff77,CN,2
31,Staff80,RN,5
31,Staff89,LPN,18
31,Staff90,CN,6
31,Staff91,LPN,16
31,Staff100,CN,2
31,Staff102,CN,3
31,Staff103,CN,1
31,Staff105,RN,4
31,Staff112,CN,3
31,Staff114,RN,5
31,Staff116,RN,5
31,Staff120,RN,5
31,Staff121,CN,1
31,Staff125,LPN,18
31,Staff126,CN,2
31,Staff128,CN,1
31,Staff129,CN,2
31,Staff130,CN,4
31,Staff146,CN,1
31,Staff151,RN,6
31,Staff157,CN,0
39,Staff1,CN,0
39,Staff2,LPN,19
39,Staff3,RN,4
39,Staff5,RN,5
39,Staff6,CN,2
39,Staff11,CN,1
39,Staff15,CN,4
39,Staff17,CN,0
39,Staff19,LPN,18
39,Staff20,CN,2
39,Staff22,CN,3
39,Staff23,CN,1
39,Staff25,RN,4
39,Staff26,CN,1
39,Staff27,LPN,18
39,Staff28,CN,4
39,Staff30,CN,4
39,Staff31,CN,1
39,Staff32,CN,1
39,Staff35,CN,3
39,Staff38,CN,1
39,Staff39,CN,1
39,Staff42,CN,3
39,Staff46,CN,0
39,Staff47,LPN,17
39,Staff48,RN,5
39,Staff49,CN,1
39,Staff51,CN,1
39,Staff54,CN,4
39,Staff56,CN,2
39,Staff59,LPN,17
39,Staff61,RN,4
39,Staff62,CN,3
39,Staff63,CN,3
39,Staff65,CN,3
39,Staff67,RN,6
39,Staff69,CN,1
39,Staff70,RN,4
39,Staff74,CN,3
39,Staff78,CN,1
39,Staff81,CN,4
39,Staff82,CN,3
39,Staff84,LPN,20
39,Staff85,CN,3
39,Staff86,CN,1
39,Staff87,RN,4
39,Staff92,CN,3
39,Staff94,CN,1
39,Staff95,CN,3
39,Staff98,CN,4
39,Staff101,CN,1
39,Staff104,RN,5
39,Staff106,LPN,19
39,Staff110,CN,2
