cycle,name,Type,ResTurn
7,Staff0,CN,0
7,Staff5,CN,0
7,Staff9,CN,0
7,Staff11,CN,0
7,Staff19,CN,0
7,Staff23,CN,0
7,Staff34,CN,0
7,Staff52,RN,0
7,Staff55,CN,0
7,Staff56,CN,0
7,Staff64,LPN,0
7,Staff66,RN,0
7,Staff69,CN,0
7,Staff74,CN,0
7,Staff86,CN,0
7,Staff88,CN,0
7,Staff94,CN,0
7,Staff97,CN,0
7,Staff101,LPN,0
7,Staff105,RN,0
7,Staff111,LPN,0
7,Staff115,CN,0
7,Staff116,LPN,0
7,Staff119,CN,0
7,Staff122,LPN,0
7,Staff128,CN,0
7,Staff139,CN,0
7,Staff140,CN,0
7,Staff146,CN,0
7,Staff150,CN,0
7,Staff159,CN,0
7,Staff161,CN,0
7,Staff166,CN,0
15,Staff1,RN,0
15,Staff2,CN,0
15,Staff6,CN,0
15,Staff7,CN,0
15,Staff12,RN,0
15,Staff14,LPN,0
15,Staff15,CN,0
15,Staff17,CN,0
15,Staff20,RN,0
15,Staff21,LPN,0
15,Staff24,CN,0
15,Staff25,CN,0
15,Staff26,CN,0
15,Staff27,CN,0
15,Staff28,CN,0
15,Staff33,CN,0
15,Staff36,CN,0
15,Staff39,LPN,0
15,Staff41,RN,0
15,Staff42,CN,0
15,Staff43,LPN,0
15,Staff46,RN,0
15,Staff47,RN,0
15,Staff49,CN,0
15,Staff53,LPN,0
15,Staff59,CN,0
15,Staff60,CN,0
15,Staff62,CN,0
15,Staff65,CN,0
15,Staff68,CN,0
15,Staff72,LPN,0
15,Staff75,RN,0
15,Staff76,RN,0
15,Staff77,CN,0
15,Staff80,CN,0
15,Staff82,RN,0
15,Staff83,CN,0
15,Staff87,CN,0
15,Staff91,CN,0
15,Staff92,CN,0
15,Staff96,CN,0
15,Staff98,LPN,0
15,Staff100,CN,0
15,Staff103,CN,0
15,Staff104,CN,0
15,Staff106,CN,0
15,Staff107,CN,0
15,Staff108,RN,0
15,Staff109,LPN,0
15,Staff110,RN,0
15,Staff117,CN,0
15,Staff126,CN,0
15,Staff129,RN,0
15,Staff132,CN,0
