cycle,name,Type,ResTurn
7,Staff0,RN,0
7,Staff1,CN,0
7,Staff8,CN,0
7,Staff10,CN,0
7,Staff11,LPN,0
7,Staff17,CN,0
7,Staff27,CN,0
7,Staff29,CN,0
7,Staff33,RN,0
7,Staff39,CN,0
7,Staff40,RN,0
7,Staff43,CN,0
7,Staff44,CN,0
7,Staff70,CN,0
7,Staff75,RN,0
7,Staff81,CN,0
7,Staff82,CN,0
7,Staff87,CN,0
7,Staff90,CN,0
7,Staff92,RN,0
7,Staff93,CN,0
7,Staff96,LPN,0
7,Staff101,CN,0
7,Staff108,LPN,0
7,Staff111,CN,0
7,Staff115,CN,0
7,Staff118,LPN,0
7,Staff127,CN,0
7,Staff134,CN,0
7,Staff153,CN,0
7,Staff157,CN,0
7,Staff160,CN,0
7,Staff166,CN,0
7,Staff167,CN,0
15,Staff5,CN,0
15,Staff6,CN,0
15,Staff9,LPN,0
15,Staff12,CN,0
15,Staff13,LPN,0
15,Staff15,CN,0
15,Staff21,CN,0
15,Staff22,CN,0
15,Staff25,CN,0
15,Staff26,LPN,0
15,Staff30,CN,0
15,Staff32,CN,0
15,Staff36,LPN,0
15,Staff41,LPN,0
15,Staff42,CN,0
15,Staff45,CN,0
15,Staff47,CN,0
15,Staff48,CN,0
15,Staff50,CN,0
15,Staff52,CN,0
15,Staff53,CN,0
15,Staff56,CN,0
15,Staff57,CN,0
15,Staff58,RN,0
15,Staff62,CN,0
15,Staff64,LPN,0
15,Staff65,LPN,0
15,Staff67,CN,0
15,Staff68,CN,0
15,Staff69,CN,0
15,Staff72,CN,0
15,Staff73,CN,0
15,Staff77,CN,0
15,Staff79,CN,0
15,Staff83,LPN,0
15,Staff85,RN,0
15,Staff89,CN,0
15,Staff95,CN,0
15,Staff98,RN,0
15,Staff99,RN,0
15,Staff100,RN,0
15,Staff104,CN,0
15,Staff105,CN,0
15,Staff109,CN,0
15,Staff110,LPN,0
15,Staff114,CN,0
15,Staff121,CN,0
15,Staff122,LPN,0
15,Staff123,CN,0
15,Staff124,CN,0
15,Staff125,CN,0
15,Staff129,CN,0
15,Staff130,CN,0
15,Staff131,RN,0
15,Staff132,CN,0
15,Staff135,CN,0
15,Staff136,LPN,0
15,Staff140,CN,0
15,Staff141,CN,0
15,Staff146,CN,0
15,Staff147,CN,0
15,Staff148,LPN,0
15,Staff155,CN,0
15,Staff158,LPN,0
15,Staff159,CN,0
15,Staff161,CN,0
15,Staff162,CN,0
15,Staff165,RN,0
15,Staff169,RN,0
23,Staff2,CN,2
