cycle,name,Type,ResTurn
7,Staff0,LPN,0
7,Staff6,CN,0
7,Staff23,CN,0
7,Staff37,CN,0
7,Staff50,CN,0
7,Staff57,RN,0
7,Staff59,CN,0
7,Staff74,CN,0
7,Staff75,CN,0
7,Staff78,CN,0
7,Staff80,LPN,0
7,Staff97,CN,0
7,Staff101,CN,0
7,Staff107,CN,0
7,Staff115,CN,0
7,Staff117,CN,0
7,Staff120,CN,0
7,Staff122,CN,0
7,Staff123,CN,0
7,Staff124,CN,0
7,Staff127,CN,0
7,Staff131,LPN,0
7,Staff136,CN,0
7,Staff138,CN,0
7,Staff144,LPN,0
7,Staff150,CN,0
7,Staff163,CN,0
7,Staff165,CN,0
7,Staff168,CN,0
15,Staff4,CN,0
15,Staff5,CN,0
15,Staff7,CN,0
15,Staff9,CN,0
15,Staff10,CN,0
15,Staff11,CN,0
15,Staff13,CN,0
15,Staff14,CN,0
15,Staff15,RN,0
15,Staff16,CN,0
15,Staff19,CN,0
15,Staff20,CN,0
15,Staff21,CN,0
15,Staff22,RN,0
15,Staff25,CN,0
15,Staff26,CN,0
15,Staff27,LPN,0
15,Staff29,LPN,0
15,Staff30,RN,0
15,Staff32,RN,0
15,Staff33,CN,0
15,Staff34,CN,0
15,Staff39,CN,0
15,Staff40,CN,0
15,Staff42,CN,0
15,Staff48,CN,0
15,Staff49,CN,0
15,Staff55,CN,0
15,Staff56,CN,0
15,Staff58,CN,0
15,Staff62,CN,0
15,Staff63,CN,0
15,Staff65,CN,0
15,Staff68,CN,0
15,Staff71,CN,0
15,Staff72,RN,0
15,Staff73,CN,0
15,Staff76,LPN,0
15,Staff82,LPN,0
15,Staff84,CN,0
15,Staff88,CN,0
15,Staff91,RN,0
15,Staff95,CN,0
15,Staff96,CN,0
15,Staff98,CN,0
15,Staff105,CN,0
15,Staff113,CN,0
15,Staff116,CN,0
15,Staff125,CN,0
15,Staff126,CN,0
15,Staff128,LPN,0
15,Staff132,RN,0
15,Staff133,CN,0
15,Staff134,CN,0
15,Staff139,CN,0
15,Staff142,LPN,0
15,Staff147,RN,0
15,Staff151,CN,0
15,Staff152,LPN,0
15,Staff153,CN,0
15,Staff154,CN,0
15,Staff156,CN,0
15,Staff157,CN,0
15,Staff158,CN,0
15,Staff160,LPN,0
15,Staff161,CN,0
15,Staff166,CN,0
15,Staff169,CN,0
23,Staff1,RN,4
23,Staff2,RN,5
23,Staff3,RN,4
23,Staff8,RN,6
23,Staff12,CN,0
23,Staff17,CN,0
23,Staff18,RN,4
23,Staff24,CN,3
23,Staff28,CN,2
23,Staff31,CN,2
23,Staff35,CN,1
23,Staff36,CN,2
23,Staff38,RN,5
23,Staff41,CN,2
23,Staff43,CN,0
23,Staff44,RN,4
23,Staff45,LPN,26
23,Staff46,LPN,16
23,Staff47,LPN,19
23,Staff51,CN,2
23,Staff52,CN,3
23,Staff53,CN,1
23,Staff54,LPN,21
23,Staff60,RN,5
23,Staff61,CN,2
23,Staff64,LPN,14
23,Staff66,CN,2
23,Staff67,CN,2
23,Staff69,CN,2
23,Staff70,CN,3
23,Staff77,CN,4
23,Staff79,CN,0
23,Staff81,CN,3
23,Staff83,CN,0
23,Staff85,RN,4
23,Staff86,RN,6
23,Staff87,CN,1
23,Staff89,CN,2
23,Staff90,LPN,14
23,Staff92,CN,3
23,Staff93,CN,2
23,Staff94,LPN,23
23,Staff99,CN,2
23,Staff100,CN,1
23,Staff102,CN,2
23,Staff103,CN,2
23,Staff104,CN,1
23,Staff106,CN,1
23,Staff108,CN,1
23,Staff109,CN,2
23,Staff110,CN,0
23,Staff111,CN,2
23,Staff112,LPN,14
23,Staff114,CN,0
23,Staff118,CN,2
23,Staff119,CN,2
23,Staff121,CN,4
23,Staff129,RN,5
23,Staff130,CN,1
23,Staff135,CN,0
23,Staff137,CN,2
23,Staff140,CN,1
23,Staff141,CN,1
23,Staff143,RN,4
23,Staff145,CN,2
23,Staff146,CN,2
23,Staff148,CN,1
23,Staff149,RN,3
23,Staff155,CN,1
23,Staff159,CN,3
23,Staff162,CN,4
23,Staff164,CN,5
23,Staff167,RN,5
31,Staff0,LPN,17
31,Staff6,CN,4
31,Staff23,CN,0
31,Staff37,CN,2
31,Staff50,CN,0
31,Staff57,RN,3
31,Staff59,CN,3
31,Staff74,CN,2
31,Staff75,CN,1
31,Staff78,CN,2
31,Staff80,LPN,18
31,Staff97,CN,2
31,Staff101,CN,5
31,Staff107,CN,2
31,Staff115,CN,1
31,Staff117,CN,2
31,Staff120,CN,1
31,Staff122,CN,2
31,Staff123,CN,3
31,Staff124,CN,1
31,Staff127,CN,2
31,Staff131,LPN,22
31,Staff136,CN,4
31,Staff138,CN,3
31,Staff144,LPN,18
31,Staff150,CN,2
31,Staff163,CN,2
31,Staff165,CN,3
31,Staff168,CN,1
39,Staff4,CN,1
39,Staff5,CN,2
39,Staff7,CN,0
39,Staff9,CN,2
39,Staff10,CN,1
39,Staff11,CN,4
39,Staff13,CN,2
39,Staff14,CN,0
39,Staff15,RN,5
39,Staff16,CN,3
39,Staff19,CN,2
39,Staff20,CN,4
39,Staff21,CN,1
39,Staff22,RN,6
39,Staff25,CN,1
39,Staff26,CN,2
39,Staff27,LPN,24
39,Staff29,LPN,17
39,Staff30,RN,5
39,Staff32,RN,4
39,Staff33,CN,2
39,Staff34,CN,4
39,Staff39,CN,2
39,Staff40,CN,3
39,Staff42,CN,1
39,Staff48,CN,3
39,Staff49,CN,0
39,Staff55,CN,2
39,Staff56,CN,1
39,Staff58,CN,4
39,Staff62,CN,3
39,Staff63,CN,1
39,Staff65,CN,2
39,Staff68,CN,2
39,Staff71,CN,2
39,Staff72,RN,6
39,Staff73,CN,2
39,Staff76,LPN,20
39,Staff82,LPN,19
39,Staff84,CN,2
39,Staff88,CN,1
39,Staff91,RN,6
39,Staff95,CN,1
39,Staff96,CN,2
39,Staff98,CN,3
39,Staff105,CN,1
39,Staff113,CN,2
39,Staff116,CN,0
39,Staff125,CN,1
39,Staff126,CN,4
39,Staff128,LPN,17
39,Staff132,RN,4
39,Staff133,CN,3
39,Staff134,CN,1
39,Staff139,CN,1
39,Staff142,LPN,22
39,Staff147,RN,5
39,Staff151,CN,2
39,Staff152,LPN,19
39,Staff153,CN,3
39,Staff154,CN,1
39,Staff156,CN,2
39,Staff157,CN,2
39,Staff158,CN,3
39,Staff160,LPN,17
39,Staff161,CN,2
39,Staff166,CN,2
39,Staff169,CN,2
47,Staff1,RN,6
47,Staff2,RN,3
47,Staff3,RN,4
47,Staff8,RN,7
47,Staff12,CN,1
47,Staff17,CN,4
47,Staff18,RN,6
47,Staff24,CN,1
47,Staff28,CN,2
47,Staff31,CN,4
47,Staff35,CN,3
47,Staff36,CN,2
47,Staff38,RN,5
47,Staff41,CN,4
47,Staff43,CN,4
47,Staff44,RN,5
47,Staff45,LPN,16
47,Staff46,LPN,25
47,Staff47,LPN,15
47,Staff51,CN,1
47,Staff52,CN,2
47,Staff53,CN,4
47,Staff54,LPN,8
47,Staff60,RN,6
47,Staff61,CN,3
47,Staff64,LPN,19
47,Staff66,CN,2
47,Staff67,CN,2
47,Staff69,CN,1
47,Staff70,CN,3
47,Staff77,CN,2
47,Staff79,CN,4
47,Staff81,CN,2
47,Staff83,CN,4
47,Staff85,RN,5
47,Staff86,RN,5
47,Staff87,CN,4
47,Staff89,CN,1
47,Staff90,LPN,15
47,Staff92,CN,2
47,Staff93,CN,1
47,Staff94,LPN,17
47,Staff99,CN,2
47,Staff100,CN,0
47,Staff102,CN,2
