cycle,name,latent_period
181,Residents103,5
743,Residents14,2
823,Staff57,5
901,Staff122,5
1026,Residents156,2
1079,Residents157,6
1138,Residents158,2
1296,Staff119,3
1341,Residents80,6
1373,Staff154,2
1390,Residents135,6
1394,Staff16,4
1415,Staff7,5
1417,Staff18,3
1560,Staff143,6
1570,Staff48,2
1588,Staff25,4
1689,Staff138,3
1720,Residents91,4
1732,Staff158,5
1733,Residents92,4
1745,Residents26,7
1806,Residents106,8
1845,Staff129,4
1852,Residents122,8
1856,Residents165,2
1871,Residents24,9
1907,Residents132,7
2018,Residents97,2
2079,Residents124,7
2127,Residents123,5
2133,Residents98,2
