cycle,name,latent_period
232,Residents22,4
328,Residents34,5
333,Residents33,6
392,Residents149,2
457,Residents147,7
460,Residents145,7
494,Residents148,4
519,Residents32,2
556,Staff130,6
696,Residents13,4
712,Staff44,4
716,Staff104,2
720,Residents133,2
724,Residents2,6
730,Residents122,3
737,Residents121,5
758,Residents108,8
759,Residents134,8
761,Staff75,9
771,Residents132,4
794,Residents12,3
796,Residents9,4
834,Staff39,3
852,Residents120,7
914,Residents1,6
1031,Staff52,9
1033,Staff58,4
1082,Residents60,4
1095,Residents94,6
1103,Staff120,3
1117,Residents5,7
1131,Residents62,4
1312,Residents35,2
1347,Residents112,4
1537,Residents111,3
1576,Staff142,4
