cycle,name,latent_period
56,Staff45,4
92,Residents72,4
94,Residents82,3
133,Residents40,7
139,Residents28,4
146,Staff76,5
152,Residents74,5
158,Residents167,8
163,Residents84,7
173,Staff102,7
173,Staff116,4
192,Residents126,9
203,Staff157,2
211,Staff88,3
218,Residents27,6
223,Residents127,2
232,Residents131,5
233,Staff20,2
241,Residents49,6
245,Residents73,7
250,Residents80,3
253,Staff118,2
256,Staff74,8
256,Staff54,5
260,Residents45,2
260,Staff123,8
261,Residents132,6
267,Residents88,2
268,Residents172,5
275,Residents129,5
280,Residents157,3
282,Staff131,3
283,Staff82,6
284,Staff95,2
287,Staff100,7
303,Residents158,9
306,Residents46,9
312,Residents168,5
315,Staff81,4
328,Staff135,7
334,Residents5,9
337,Staff155,7
340,Residents89,4
343,Residents39,4
348,Staff109,5
351,Residents163,2
351,Staff78,2
351,Staff43,4
355,Residents79,6
359,Residents68,2
364,Residents47,4
369,Residents165,2
370,Residents26,8
380,Staff59,4
387,Residents107,6
388,Residents121,2
397,Residents78,4
405,Residents135,7
413,Residents137,3
416,Residents122,2
423,Residents44,5
426,Residents24,6
434,Staff129,3
436,Residents136,5
439,Residents123,4
443,Staff142,5
446,Residents71,8
450,Residents0,7
451,Staff49,2
453,Residents2,2
455,Residents15,6
457,Staff9,5
459,Residents92,2
459,Residents170,4
460,Residents83,6
461,Residents6,9
461,Residents169,3
463,Residents70,6
464,Residents120,4
468,Residents173,4
477,Staff85,2
478,Residents156,9
479,Staff125,2
483,Residents125,3
484,Residents116,7
487,Residents69,2
488,Residents101,5
492,Residents108,8
499,Residents113,2
500,Residents65,6
500,Residents62,3
500,Residents111,5
508,Residents91,8
514,Residents162,2
518,Residents160,2
527,Residents104,2
528,Residents90,4
530,Residents97,9
543,Residents124,3
550,Residents43,5
552,Residents53,6
554,Staff112,7
566,Residents159,9
574,Residents34,6
574,Residents99,2
577,Residents54,4
579,Staff63,6
581,Staff138,3
582,Residents114,5
587,Residents60,5
603,Residents19,8
609,Residents98,9
618,Residents152,7
624,Staff106,7
629,Residents100,8
633,Residents141,5
655,Residents16,7
658,Residents1,7
669,Residents103,3
687,Residents87,4
697,Residents41,7
763,Residents145,2
