cycle,name,latent_period
77,Residents46,8
288,Residents43,2
352,Residents80,2
360,Residents91,8
422,Residents114,3
429,Staff80,3
441,Residents111,4
451,Staff79,4
477,Residents78,8
496,Residents115,2
499,Staff72,6
499,Staff111,5
501,Staff21,5
510,Residents60,4
552,Residents113,2
594,Staff124,3
602,Residents112,6
607,Residents62,9
610,Residents13,2
617,Residents138,2
617,Residents172,7
622,Residents63,3
642,Residents61,7
670,Residents41,8
679,Residents14,2
682,Residents116,4
695,Residents57,4
696,Residents167,4
700,Residents65,2
706,Staff66,7
721,Residents64,7
723,Residents10,2
738,Staff7,2
752,Residents173,4
804,Residents158,3
805,Residents29,9
812,Residents11,5
819,Staff142,2
821,Residents77,2
840,Staff95,8
840,Staff87,8
844,Residents143,4
846,Residents59,3
860,Residents37,5
873,Residents35,4
887,Residents75,2
895,Residents97,2
904,Staff3,2
914,Residents96,8
922,Residents127,3
947,Residents98,3
981,Residents22,4
981,Staff115,4
988,Residents38,2
1007,Staff41,2
1008,Residents36,4
1015,Residents126,3
1029,Residents1,3
1038,Residents109,4
1050,Residents25,3
1050,Residents145,5
1055,Residents124,7
1064,Residents34,8
1071,Residents165,3
1085,Staff74,7
1108,Residents108,5
1109,Residents17,8
1114,Residents8,7
1125,Residents26,9
1131,Residents2,5
1132,Residents15,8
1137,Residents21,9
1242,Residents24,9
1324,Residents16,8
1373,Residents0,6
