cycle,name,latent_period
145,Residents53,3
189,Residents134,8
303,Residents141,3
360,Residents139,3
381,Residents145,8
426,Staff40,6
428,Staff152,5
436,Residents120,3
464,Residents142,2
471,Staff26,9
476,Residents140,4
572,Residents40,4
578,Residents133,3
602,Residents57,2
615,Staff13,4
618,Staff19,2
641,Residents144,4
650,Residents117,5
662,Residents116,2
664,Residents115,7
668,Residents125,2
687,Residents123,4
741,Staff156,2
774,Residents114,3
797,Residents119,9
804,Residents113,6
811,Residents118,3
910,Residents112,2
1091,Residents111,5
1178,Staff47,7
