cycle,name,latent_period
97,Residents102,2
286,Residents101,3
361,Residents152,5
362,Residents121,8
384,Residents99,7
392,Residents144,6
393,Residents150,9
443,Residents100,3
568,Residents151,2
601,Residents128,2
605,Residents76,3
666,Residents127,4
774,Residents77,3
860,Residents158,8
935,Residents124,2
957,Residents11,2
960,Residents95,8
964,Residents96,9
974,Residents92,3
987,Residents162,2
988,Residents122,6
1018,Residents98,2
1020,Residents80,2
1038,Residents93,8
1040,Residents97,4
1041,Residents160,3
1065,Residents157,3
1089,Residents91,4
1100,Residents10,2
1120,Residents90,4
1124,Residents133,5
1154,Staff85,7
1174,Residents79,5
