cycle,name,latent_period
267,Residents23,9
332,Residents22,8
880,Staff130,3
943,Residents32,5
952,Staff11,2
954,Staff0,4
1154,Residents68,4
1264,Staff105,2
1299,Residents74,8
1315,Residents162,9
1315,Staff10,2
1347,Residents164,2
1348,Residents134,3
1409,Staff47,4
1437,Staff77,4
1440,Residents133,5
1441,Residents73,3
1482,Staff128,8
1484,Staff104,8
1504,Staff90,3
1566,Residents147,4
1580,Staff93,2
1591,Residents51,4
1600,Staff44,7
1623,Staff41,8
1628,Staff4,8
1635,Residents53,9
1637,Residents113,4
1673,Residents7,4
1723,Residents148,2
1886,Residents95,6
1898,Residents62,4
1988,Residents54,5
