seed,cycle,LastInfection,I,E,S_r,I_r,I_s,E_s,H,Cumulative_I,Cumulative_I_r,Cumulative_I_s,Cumulative_H,D,Tests_r,Tests_s,GlobalShedding_p,Introduction_p,TestingFreq,Test_sensitivity,PPE_OR,Vaccination_OR_S,vaccination_dist,VaccineEff
30.0,8,0,0,0,174,0,0,0,0,0,0,0,0,0,58,170,0.38,0.1,5,0.8,0.3408,0.1357,0.7,B
30.0,32,0,1,1,173,1,0,0,0,0,0,0,0,0,58,170,0.38,0.1,5,0.8,0.3408,0.1357,0.7,B
30.0,56,40,1,2,172,1,0,0,0,1,1,0,0,0,58,170,0.38,0.1,5,0.8,0.3408,0.1357,0.7,B
30.0,80,40,2,3,172,1,1,1,0,1,1,1,0,0,58,170,0.38,0.1,5,0.8,0.3408,0.1357,0.7,B
30.0,104,40,2,3,172,1,1,1,0,1,1,1,0,0,58,170,0.38,0.1,5,0.8,0.3408,0.1357,0.7,B
30.0,128,40,2,3,172,1,1,1,1,1,1,2,1,0,116,339,0.38,0.1,5,0.8,0.3408,0.1357,0.7,B
30.0,152,40,3,4,172,2,1,1,1,1,2,2,1,0,116,339,0.38,0.1,5,0.8,0.3408,0.1357,0.7,B
30.0,176,40,4,4,172,3,1,1,2,1,2,2,2,0,116,339,0.38,0.1,5,0.8,0.3408,0.1357,0.7,B
30.0,200,191,5,6,171,3,2,2,1,2,3,3,2,0,116,339,0.38,0.1,5,0.8,0.3408,0.1357,0.7,B
30.0,224,213,5,7,170,2,3,3,1,3,4,4,2,0,116,339,0.38,0.1,5,0.8,0.3408,0.1357,0.7,B
30.0,248,231,2,5,169,2,0,0,1,4,5,4,2,0,178,505,0.38,0.1,5,0.8,0.3408,0.1357,0.7,B
30.0,272,231,5,6,169,4,1,1,1,4,5,5,2,0,188,505,0.38,0.1,5,0.8,0.3408,0.1357,0.7,B
30.0,296,231,6,7,169,3,3,3,1,4,5,7,2,0,193,505,0.38,0.1,5,0.8,0.3408,0.1357,0.7,B
30.0,320,308,7,8,168,4,3,3,1,5,8,7,2,0,193,505,0.38,0.1,5,0.8,0.3408,0.1357,0.7,B
30.0,344,336,7,9,168,4,3,4,0,6,8,8,2,0,193,505,0.38,0.1,5,0.8,0.3408,0.1357,0.7,B
30.0,368,336,6,8,168,5,1,2,0,6,9,9,2,0,259,668,0.38,0.1,5,0.8,0.3408,0.1357,0.7,B
30.0,392,381,6,9,166,5,1,2,0,8,11,9,2,0,276,668,0.38,0.1,5,0.8,0.3408,0.1357,0.7,B
30.0,416,381,6,8,166,4,2,2,0,8,11,9,2,0,292,668,0.38,0.1,5,0.8,0.3408,0.1357,0.7,B
30.0,440,381,6,7,166,4,2,2,0,8,11,9,2,0,314,668,0.38,0.1,5,0.8,0.3408,0.1357,0.7,B
30.0,464,381,6,7,166,4,2,2,0,8,11,9,2,0,335,668,0.38,0.1,5,0.8,0.3408,0.1357,0.7,B
30.0,488,381,6,6,166,5,1,1,0,8,11,10,2,0,417,829,0.38,0.1,5,0.8,0.3408,0.1357,0.7,B
30.0,512,495,3,3,165,2,1,1,0,9,12,10,2,0,437,829,0.38,0.1,5,0.8,0.3408,0.1357,0.7,B
30.0,536,495,3,3,165,2,1,1,0,9,12,10,2,0,450,829,0.38,0.1,5,0.8,0.3408,0.1357,0.7,B
30.0,560,495,2,2,165,1,1,1,0,9,12,10,2,0,451,829,0.38,0.1,5,0.8,0.3408,0.1357,0.7,B
30.0,584,495,2,2,165,1,1,1,0,9,12,10,2,0,451,829,0.38,0.1,5,0.8,0.3408,0.1357,0.7,B
30.0,608,495,0,0,165,0,0,0,0,9,12,10,2,0,509,989,0.38,0.1,5,0.8,0.3408,0.1357,0.7,B
30.0,632,495,0,0,165,0,0,0,0,9,12,10,2,0,509,989,0.38,0.1,5,0.8,0.3408,0.1357,0.7,B
30.0,656,495,0,0,165,0,0,0,0,9,12,10,2,0,509,989,0.38,0.1,5,0.8,0.3408,0.1357,0.7,B
30.0,680,495,0,0,165,0,0,0,0,9,12,10,2,0,509,989,0.38,0.1,5,0.8,0.3408,0.1357,0.7,B
30.0,704,495,0,0,165,0,0,0,0,9,12,10,2,0,509,989,0.38,0.1,5,0.8,0.3408,0.1357,0.7,B
30.0,728,495,0,0,165,0,0,0,0,9,12,10,2,0,567,1149,0.38,0.1,5,0.8,0.3408,0.1357,0.7,B
