seed,cycle,LastInfection,I,E,S_r,I_r,I_s,E_s,H,Cumulative_I,Cumulative_I_r,Cumulative_I_s,Cumulative_H,D,Tests_r,Tests_s,GlobalShedding_p,Introduction_p,TestingFreq,Test_sensitivity,PPE_OR,Vaccination_OR_S,vaccination_dist,VaccineEff
201.0,8,0,0,0,174,0,0,0,0,0,0,0,0,0,58,170,0.45599999999999996,0.05,7,0.75,0.3408,0.1357,0.7,B
201.0,32,0,1,1,173,1,0,0,0,0,0,0,0,0,58,170,0.45599999999999996,0.05,7,0.75,0.3408,0.1357,0.7,B
201.0,56,0,1,1,173,1,0,0,0,0,0,0,0,0,58,170,0.45599999999999996,0.05,7,0.75,0.3408,0.1357,0.7,B
201.0,80,0,1,1,173,1,0,0,0,0,0,0,0,0,58,170,0.45599999999999996,0.05,7,0.75,0.3408,0.1357,0.7,B
201.0,104,0,1,1,173,1,0,0,0,0,0,0,0,0,58,170,0.45599999999999996,0.05,7,0.75,0.3408,0.1357,0.7,B
201.0,128,0,1,1,173,1,0,0,0,0,0,0,0,0,58,170,0.45599999999999996,0.05,7,0.75,0.3408,0.1357,0.7,B
201.0,152,142,4,5,172,2,2,2,0,1,2,2,0,0,58,170,0.45599999999999996,0.05,7,0.75,0.3408,0.1357,0.7,B
201.0,176,152,2,4,171,2,0,0,0,2,3,2,0,0,120,338,0.45599999999999996,0.05,7,0.75,0.3408,0.1357,0.7,B
201.0,200,192,2,5,170,2,0,0,0,3,4,2,0,0,135,338,0.45599999999999996,0.05,7,0.75,0.3408,0.1357,0.7,B
201.0,224,192,2,5,170,1,1,1,0,3,4,3,0,0,138,338,0.45599999999999996,0.05,7,0.75,0.3408,0.1357,0.7,B
201.0,248,192,2,5,170,1,1,1,0,3,4,3,0,0,138,338,0.45599999999999996,0.05,7,0.75,0.3408,0.1357,0.7,B
201.0,272,268,5,8,170,3,2,4,0,5,4,6,0,0,144,338,0.45599999999999996,0.05,7,0.75,0.3408,0.1357,0.7,B
201.0,296,291,7,11,169,4,3,6,0,7,6,8,0,0,157,338,0.45599999999999996,0.05,7,0.75,0.3408,0.1357,0.7,B
201.0,320,308,8,14,167,5,3,6,1,9,9,8,1,0,175,338,0.45599999999999996,0.05,7,0.75,0.3408,0.1357,0.7,B
201.0,344,333,4,9,166,4,0,1,1,10,10,9,1,0,251,500,0.45599999999999996,0.05,7,0.75,0.3408,0.1357,0.7,B
201.0,368,355,6,11,165,5,1,2,1,11,11,10,1,0,275,500,0.45599999999999996,0.05,7,0.75,0.3408,0.1357,0.7,B
201.0,392,389,7,10,165,5,2,3,1,12,11,11,1,0,298,500,0.45599999999999996,0.05,7,0.75,0.3408,0.1357,0.7,B
201.0,416,413,10,13,164,7,3,4,1,13,13,12,1,0,317,500,0.45599999999999996,0.05,7,0.75,0.3408,0.1357,0.7,B
201.0,440,422,12,16,163,8,4,5,1,14,15,13,1,0,336,500,0.45599999999999996,0.05,7,0.75,0.3408,0.1357,0.7,B
201.0,464,456,16,23,160,10,6,8,2,18,19,16,3,0,357,500,0.45599999999999996,0.05,7,0.75,0.3408,0.1357,0.7,B
201.0,488,466,14,23,158,8,6,8,1,20,22,16,3,0,379,500,0.45599999999999996,0.05,7,0.75,0.3408,0.1357,0.7,B
201.0,512,466,12,19,158,9,3,3,3,20,23,16,5,0,456,657,0.45599999999999996,0.05,7,0.75,0.3408,0.1357,0.7,B
201.0,536,466,11,17,158,8,3,3,2,20,23,16,5,0,477,657,0.45599999999999996,0.05,7,0.75,0.3408,0.1357,0.7,B
201.0,560,557,12,20,157,7,5,6,2,22,24,19,5,0,489,657,0.45599999999999996,0.05,7,0.75,0.3408,0.1357,0.7,B
201.0,584,580,15,22,154,10,5,6,3,25,27,19,6,0,511,657,0.45599999999999996,0.05,7,0.75,0.3408,0.1357,0.7,B
201.0,608,602,16,23,152,11,5,7,2,28,30,20,6,0,534,657,0.45599999999999996,0.05,7,0.75,0.3408,0.1357,0.7,B
201.0,632,619,21,28,151,14,7,9,2,29,33,22,6,0,558,657,0.45599999999999996,0.05,7,0.75,0.3408,0.1357,0.7,B
201.0,656,652,21,32,147,14,7,9,2,33,38,24,6,0,581,657,0.45599999999999996,0.05,7,0.75,0.3408,0.1357,0.7,B
201.0,680,669,15,26,146,14,1,3,4,34,41,26,9,0,662,807,0.45599999999999996,0.05,7,0.75,0.3408,0.1357,0.7,B
201.0,704,703,10,23,144,9,1,3,2,36,44,26,9,0,686,807,0.45599999999999996,0.05,7,0.75,0.3408,0.1357,0.7,B
201.0,728,717,14,26,142,10,4,4,2,38,47,27,9,0,710,807,0.45599999999999996,0.05,7,0.75,0.3408,0.1357,0.7,B
201.0,752,717,15,25,142,11,4,4,3,38,47,27,10,0,733,807,0.45599999999999996,0.05,7,0.75,0.3408,0.1357,0.7,B
201.0,776,717,22,29,142,16,6,6,4,38,50,29,11,0,757,807,0.45599999999999996,0.05,7,0.75,0.3408,0.1357,0.7,B
201.0,800,717,28,35,142,20,8,8,4,38,54,31,11,0,781,807,0.45599999999999996,0.05,7,0.75,0.3408,0.1357,0.7,B
201.0,824,818,34,45,134,23,11,11,4,46,66,35,11,0,805,807,0.45599999999999996,0.05,7,0.75,0.3408,0.1357,0.7,B
201.0,848,844,28,40,131,24,4,4,5,50,70,39,12,0,887,947,0.45599999999999996,0.05,7,0.75,0.3408,0.1357,0.7,B
201.0,872,868,29,40,128,24,5,6,3,54,74,41,12,0,911,947,0.45599999999999996,0.05,7,0.75,0.3408,0.1357,0.7,B
201.0,896,895,31,44,125,25,6,7,4,57,77,42,13,0,935,947,0.45599999999999996,0.05,7,0.75,0.3408,0.1357,0.7,B
201.0,920,917,31,44,121,24,7,8,3,61,82,44,13,0,959,947,0.45599999999999996,0.05,7,0.75,0.3408,0.1357,0.7,B
201.0,944,941,29,42,117,21,8,9,4,65,88,45,14,0,983,947,0.45599999999999996,0.05,7,0.75,0.3408,0.1357,0.7,B
201.0,968,941,24,37,117,17,7,8,4,65,88,45,15,0,1007,947,0.45599999999999996,0.05,7,0.75,0.3408,0.1357,0.7,B
201.0,992,981,26,36,117,18,8,10,5,66,88,47,17,0,1031,947,0.45599999999999996,0.05,7,0.75,0.3408,0.1357,0.7,B
201.0,1016,1012,22,33,115,19,3,6,2,69,92,48,17,0,1113,1082,0.45599999999999996,0.05,7,0.75,0.3408,0.1357,0.7,B
201.0,1040,1012,18,28,115,16,2,5,2,69,92,48,17,0,1137,1082,0.45599999999999996,0.05,7,0.75,0.3408,0.1357,0.7,B
201.0,1064,1012,17,23,115,14,3,5,3,69,92,48,18,0,1161,1082,0.45599999999999996,0.05,7,0.75,0.3408,0.1357,0.7,B
201.0,1088,1080,15,23,114,12,3,6,3,71,94,50,18,0,1185,1082,0.45599999999999996,0.05,7,0.75,0.3408,0.1357,0.7,B
201.0,1112,1080,13,20,114,10,3,6,4,71,94,50,20,0,1208,1082,0.45599999999999996,0.05,7,0.75,0.3408,0.1357,0.7,B
201.0,1136,1120,14,20,113,10,4,6,3,72,95,50,20,0,1230,1082,0.45599999999999996,0.05,7,0.75,0.3408,0.1357,0.7,B
201.0,1160,1120,8,14,113,5,3,5,3,72,95,50,21,0,1249,1082,0.45599999999999996,0.05,7,0.75,0.3408,0.1357,0.7,B
201.0,1184,1120,6,9,113,4,2,2,2,72,95,50,21,0,1323,1215,0.45599999999999996,0.05,7,0.75,0.3408,0.1357,0.7,B
201.0,1208,1120,4,7,113,2,2,2,3,72,95,50,22,0,1344,1215,0.45599999999999996,0.05,7,0.75,0.3408,0.1357,0.7,B
201.0,1232,1120,5,7,113,2,3,3,3,72,95,51,22,0,1358,1215,0.45599999999999996,0.05,7,0.75,0.3408,0.1357,0.7,B
201.0,1256,1120,3,6,113,2,1,1,3,72,96,51,22,0,1378,1215,0.45599999999999996,0.05,7,0.75,0.3408,0.1357,0.7,B
201.0,1280,1120,3,6,113,2,1,1,3,72,96,51,22,0,1400,1215,0.45599999999999996,0.05,7,0.75,0.3408,0.1357,0.7,B
201.0,1304,1120,6,6,113,4,2,2,3,72,96,52,22,0,1420,1215,0.45599999999999996,0.05,7,0.75,0.3408,0.1357,0.7,B
201.0,1328,1120,5,5,113,3,2,2,3,72,96,52,22,0,1425,1215,0.45599999999999996,0.05,7,0.75,0.3408,0.1357,0.7,B
201.0,1352,1120,4,4,113,3,1,1,1,72,96,52,22,0,1489,1347,0.45599999999999996,0.05,7,0.75,0.3408,0.1357,0.7,B
201.0,1376,1120,4,4,113,2,2,2,0,72,96,53,22,0,1506,1347,0.45599999999999996,0.05,7,0.75,0.3408,0.1357,0.7,B
201.0,1400,1120,3,3,113,1,2,2,0,72,96,53,22,0,1511,1347,0.45599999999999996,0.05,7,0.75,0.3408,0.1357,0.7,B
201.0,1424,1120,3,3,113,1,2,2,0,72,96,53,22,0,1511,1347,0.45599999999999996,0.05,7,0.75,0.3408,0.1357,0.7,B
201.0,1448,1120,2,2,113,0,2,2,0,72,96,53,22,0,1511,1347,0.45599999999999996,0.05,7,0.75,0.3408,0.1357,0.7,B
201.0,1472,1120,1,1,113,0,1,1,0,72,96,53,22,0,1511,1347,0.45599999999999996,0.05,7,0.75,0.3408,0.1357,0.7,B
201.0,1496,1120,1,1,113,0,1,1,0,72,96,53,22,0,1511,1347,0.45599999999999996,0.05,7,0.75,0.3408,0.1357,0.7,B
201.0,1520,1120,0,0,113,0,0,0,0,72,96,53,22,0,1569,1478,0.45599999999999996,0.05,7,0.75,0.3408,0.1357,0.7,B
201.0,1544,1120,0,0,113,0,0,0,0,72,96,53,22,0,1569,1478,0.45599999999999996,0.05,7,0.75,0.3408,0.1357,0.7,B
201.0,1568,1120,0,0,113,0,0,0,0,72,96,53,22,0,1569,1478,0.45599999999999996,0.05,7,0.75,0.3408,0.1357,0.7,B
201.0,1592,1120,0,0,113,0,0,0,0,72,96,53,22,0,1569,1478,0.45599999999999996,0.05,7,0.75,0.3408,0.1357,0.7,B
201.0,1616,1120,0,0,113,0,0,0,0,72,96,53,22,0,1569,1478,0.45599999999999996,0.05,7,0.75,0.3408,0.1357,0.7,B
201.0,1640,1120,0,0,113,0,0,0,0,72,96,53,22,0,1569,1478,0.45599999999999996,0.05,7,0.75,0.3408,0.1357,0.7,B
