seed,cycle,LastInfection,I,E,S_r,I_r,I_s,E_s,H,Cumulative_I,Cumulative_I_r,Cumulative_I_s,Cumulative_H,D,Tests_r,Tests_s,GlobalShedding_p,Introduction_p,TestingFreq,Test_sensitivity,PPE_OR,Vaccination_OR_S,vaccination_dist,VaccineEff
952.0,8,0,0,0,174,0,0,0,0,0,0,0,0,0,58,170,0.38,0.01,7,0.95,0.3408,0.1357,0.5,B
952.0,32,26,1,2,172,1,0,0,0,1,1,0,0,0,58,170,0.38,0.01,7,0.95,0.3408,0.1357,0.5,B
952.0,56,26,1,2,172,1,0,0,0,1,1,0,0,0,58,170,0.38,0.01,7,0.95,0.3408,0.1357,0.5,B
952.0,80,26,1,2,172,1,0,0,0,1,1,0,0,0,58,170,0.38,0.01,7,0.95,0.3408,0.1357,0.5,B
952.0,104,26,1,2,172,1,0,0,0,1,1,0,0,0,58,170,0.38,0.01,7,0.95,0.3408,0.1357,0.5,B
952.0,128,26,2,3,172,1,1,1,0,1,1,1,0,0,58,170,0.38,0.01,7,0.95,0.3408,0.1357,0.5,B
952.0,152,26,2,3,172,1,1,1,0,1,1,1,0,0,58,170,0.38,0.01,7,0.95,0.3408,0.1357,0.5,B
952.0,176,26,2,3,172,1,1,1,0,1,1,3,0,0,119,338,0.38,0.01,7,0.95,0.3408,0.1357,0.5,B
952.0,200,180,3,4,172,2,1,2,1,2,1,4,1,0,136,338,0.38,0.01,7,0.95,0.3408,0.1357,0.5,B
952.0,224,180,2,4,172,1,1,2,1,2,2,4,1,0,152,338,0.38,0.01,7,0.95,0.3408,0.1357,0.5,B
952.0,248,180,3,4,172,2,1,2,1,2,2,4,1,0,169,338,0.38,0.01,7,0.95,0.3408,0.1357,0.5,B
952.0,272,269,3,5,171,2,1,2,1,3,3,4,1,0,184,338,0.38,0.01,7,0.95,0.3408,0.1357,0.5,B
952.0,296,269,3,4,171,1,2,2,1,3,3,4,1,0,194,338,0.38,0.01,7,0.95,0.3408,0.1357,0.5,B
952.0,320,269,4,4,171,2,2,2,1,3,3,4,1,0,194,338,0.38,0.01,7,0.95,0.3408,0.1357,0.5,B
952.0,344,330,3,5,169,2,1,1,3,5,5,4,3,0,252,505,0.38,0.01,7,0.95,0.3408,0.1357,0.5,B
952.0,368,330,3,5,169,2,1,1,2,5,5,4,3,0,252,505,0.38,0.01,7,0.95,0.3408,0.1357,0.5,B
952.0,392,330,3,5,169,2,1,1,2,5,5,4,3,0,252,505,0.38,0.01,7,0.95,0.3408,0.1357,0.5,B
952.0,416,408,2,4,168,2,0,0,1,6,6,4,3,0,252,505,0.38,0.01,7,0.95,0.3408,0.1357,0.5,B
952.0,440,408,3,4,168,3,0,0,1,6,6,4,3,0,252,505,0.38,0.01,7,0.95,0.3408,0.1357,0.5,B
952.0,464,408,3,4,168,3,0,0,1,6,6,4,3,0,252,505,0.38,0.01,7,0.95,0.3408,0.1357,0.5,B
952.0,488,468,3,5,167,2,1,1,1,7,7,5,3,0,252,505,0.38,0.01,7,0.95,0.3408,0.1357,0.5,B
952.0,512,468,2,4,167,2,0,0,1,7,7,6,3,0,317,670,0.38,0.01,7,0.95,0.3408,0.1357,0.5,B
952.0,536,468,2,4,167,2,0,0,1,7,7,6,3,0,339,670,0.38,0.01,7,0.95,0.3408,0.1357,0.5,B
952.0,560,468,1,2,167,1,0,0,2,7,7,6,4,0,356,670,0.38,0.01,7,0.95,0.3408,0.1357,0.5,B
952.0,584,468,2,2,167,2,0,0,2,7,7,6,4,0,374,670,0.38,0.01,7,0.95,0.3408,0.1357,0.5,B
952.0,608,468,2,2,167,2,0,0,2,7,7,6,4,0,392,670,0.38,0.01,7,0.95,0.3408,0.1357,0.5,B
952.0,632,468,2,2,167,2,0,0,2,7,7,6,4,0,413,670,0.38,0.01,7,0.95,0.3408,0.1357,0.5,B
952.0,656,468,2,2,167,2,0,0,0,7,7,6,4,0,431,670,0.38,0.01,7,0.95,0.3408,0.1357,0.5,B
952.0,680,468,1,1,167,1,0,0,0,7,7,6,4,0,504,835,0.38,0.01,7,0.95,0.3408,0.1357,0.5,B
952.0,704,468,0,0,167,0,0,0,0,7,7,6,4,0,517,835,0.38,0.01,7,0.95,0.3408,0.1357,0.5,B
952.0,728,468,0,0,167,0,0,0,0,7,7,6,4,0,517,835,0.38,0.01,7,0.95,0.3408,0.1357,0.5,B
952.0,752,468,0,0,167,0,0,0,0,7,7,6,4,0,517,835,0.38,0.01,7,0.95,0.3408,0.1357,0.5,B
952.0,776,468,0,0,167,0,0,0,0,7,7,6,4,0,517,835,0.38,0.01,7,0.95,0.3408,0.1357,0.5,B
952.0,800,468,0,0,167,0,0,0,0,7,7,6,4,0,517,835,0.38,0.01,7,0.95,0.3408,0.1357,0.5,B
952.0,824,468,0,0,167,0,0,0,0,7,7,6,4,0,517,835,0.38,0.01,7,0.95,0.3408,0.1357,0.5,B
