seed,cycle,LastInfection,I,E,S_r,I_r,I_s,E_s,H,Cumulative_I,Cumulative_I_r,Cumulative_I_s,Cumulative_H,D,Tests_r,Tests_s,GlobalShedding_p,Introduction_p,TestingFreq,Test_sensitivity,PPE_OR,Vaccination_OR_S,vaccination_dist,VaccineEff
350.0,8,0,0,0,174,0,0,0,0,0,0,0,0,0,58,170,0.30400000000000005,0.01,7,0.95,0.3408,0.1357,0.7,B
350.0,32,0,1,1,173,1,0,0,0,0,0,0,0,0,58,170,0.30400000000000005,0.01,7,0.95,0.3408,0.1357,0.7,B
350.0,56,0,1,1,173,1,0,0,0,0,0,0,0,0,58,170,0.30400000000000005,0.01,7,0.95,0.3408,0.1357,0.7,B
350.0,80,0,1,1,173,1,0,0,0,0,0,0,0,0,58,170,0.30400000000000005,0.01,7,0.95,0.3408,0.1357,0.7,B
350.0,104,0,1,1,173,1,0,0,0,0,0,0,0,0,58,170,0.30400000000000005,0.01,7,0.95,0.3408,0.1357,0.7,B
350.0,128,0,1,1,173,1,0,0,0,0,0,0,0,0,58,170,0.30400000000000005,0.01,7,0.95,0.3408,0.1357,0.7,B
350.0,152,0,1,1,173,1,0,0,0,0,0,0,0,0,58,170,0.30400000000000005,0.01,7,0.95,0.3408,0.1357,0.7,B
350.0,176,160,1,2,172,1,0,0,0,1,1,0,0,0,116,340,0.30400000000000005,0.01,7,0.95,0.3408,0.1357,0.7,B
350.0,200,160,1,2,172,1,0,0,0,1,1,0,0,0,116,340,0.30400000000000005,0.01,7,0.95,0.3408,0.1357,0.7,B
350.0,224,160,0,1,172,0,0,0,0,1,1,0,0,0,116,340,0.30400000000000005,0.01,7,0.95,0.3408,0.1357,0.7,B
350.0,248,160,0,1,172,0,0,0,0,1,1,0,0,0,116,340,0.30400000000000005,0.01,7,0.95,0.3408,0.1357,0.7,B
350.0,272,160,1,1,172,1,0,0,0,1,1,0,0,0,116,340,0.30400000000000005,0.01,7,0.95,0.3408,0.1357,0.7,B
350.0,296,160,1,1,172,1,0,0,0,1,1,0,0,0,116,340,0.30400000000000005,0.01,7,0.95,0.3408,0.1357,0.7,B
350.0,320,160,1,1,172,1,0,0,0,1,1,0,0,0,116,340,0.30400000000000005,0.01,7,0.95,0.3408,0.1357,0.7,B
350.0,344,160,1,1,172,1,0,0,0,1,1,0,0,0,177,510,0.30400000000000005,0.01,7,0.95,0.3408,0.1357,0.7,B
350.0,368,160,1,1,172,1,0,0,0,1,1,0,0,0,191,510,0.30400000000000005,0.01,7,0.95,0.3408,0.1357,0.7,B
350.0,392,160,0,0,172,0,0,0,1,1,1,0,1,0,205,510,0.30400000000000005,0.01,7,0.95,0.3408,0.1357,0.7,B
350.0,416,160,0,0,172,0,0,0,1,1,1,0,1,0,205,510,0.30400000000000005,0.01,7,0.95,0.3408,0.1357,0.7,B
350.0,440,160,0,0,172,0,0,0,1,1,1,0,1,0,205,510,0.30400000000000005,0.01,7,0.95,0.3408,0.1357,0.7,B
350.0,464,160,0,0,172,0,0,0,1,1,1,0,1,0,205,510,0.30400000000000005,0.01,7,0.95,0.3408,0.1357,0.7,B
350.0,488,160,0,0,172,0,0,0,1,1,1,0,1,0,205,510,0.30400000000000005,0.01,7,0.95,0.3408,0.1357,0.7,B
350.0,512,160,0,0,172,0,0,0,1,1,1,0,1,0,263,680,0.30400000000000005,0.01,7,0.95,0.3408,0.1357,0.7,B
