seed,cycle,LastInfection,I,E,S_r,I_r,I_s,E_s,H,Cumulative_I,Cumulative_I_r,Cumulative_I_s,Cumulative_H,D,Tests_r,Tests_s,GlobalShedding_p,Introduction_p,TestingFreq,Test_sensitivity,PPE_OR,Vaccination_OR_S,vaccination_dist,VaccineEff
57.0,8,0,0,0,174,0,0,0,0,0,0,0,0,0,58,170,0.45599999999999996,0.1,3,0.95,0.3408,0.1357,0.5,B
57.0,32,0,1,1,173,1,0,0,0,0,0,0,0,0,58,170,0.45599999999999996,0.1,3,0.95,0.3408,0.1357,0.5,B
57.0,56,0,1,1,173,1,0,0,0,0,0,0,0,0,58,170,0.45599999999999996,0.1,3,0.95,0.3408,0.1357,0.5,B
57.0,80,0,1,1,173,1,0,0,0,0,0,0,0,0,116,340,0.45599999999999996,0.1,3,0.95,0.3408,0.1357,0.5,B
57.0,104,0,1,1,173,1,0,0,0,0,0,0,0,0,116,340,0.45599999999999996,0.1,3,0.95,0.3408,0.1357,0.5,B
57.0,128,0,1,1,173,1,0,0,0,0,0,0,0,0,116,340,0.45599999999999996,0.1,3,0.95,0.3408,0.1357,0.5,B
57.0,152,0,1,1,173,1,0,0,0,0,0,0,0,0,174,510,0.45599999999999996,0.1,3,0.95,0.3408,0.1357,0.5,B
57.0,176,0,1,1,173,1,0,0,1,0,0,0,1,0,174,510,0.45599999999999996,0.1,3,0.95,0.3408,0.1357,0.5,B
57.0,200,0,1,1,173,1,0,0,1,0,0,0,1,0,174,510,0.45599999999999996,0.1,3,0.95,0.3408,0.1357,0.5,B
57.0,224,0,0,0,173,0,0,0,1,0,0,0,1,0,232,680,0.45599999999999996,0.1,3,0.95,0.3408,0.1357,0.5,B
57.0,248,0,0,0,173,0,0,0,1,0,0,0,1,0,232,680,0.45599999999999996,0.1,3,0.95,0.3408,0.1357,0.5,B
57.0,272,0,0,0,173,0,0,0,1,0,0,0,1,0,232,680,0.45599999999999996,0.1,3,0.95,0.3408,0.1357,0.5,B
57.0,296,0,1,1,173,0,1,1,1,0,0,1,1,0,290,850,0.45599999999999996,0.1,3,0.95,0.3408,0.1357,0.5,B
57.0,320,0,1,1,173,0,1,1,1,0,0,1,1,0,290,850,0.45599999999999996,0.1,3,0.95,0.3408,0.1357,0.5,B
57.0,344,321,1,3,173,0,1,2,1,1,1,2,1,0,290,850,0.45599999999999996,0.1,3,0.95,0.3408,0.1357,0.5,B
57.0,368,321,2,2,173,2,0,0,1,1,2,3,1,0,348,1017,0.45599999999999996,0.1,3,0.95,0.3408,0.1357,0.5,B
57.0,392,389,3,5,172,2,1,2,1,3,3,5,1,0,348,1017,0.45599999999999996,0.1,3,0.95,0.3408,0.1357,0.5,B
57.0,416,413,6,10,171,4,2,4,0,5,6,7,1,0,348,1017,0.45599999999999996,0.1,3,0.95,0.3408,0.1357,0.5,B
57.0,440,426,7,10,170,5,2,2,0,6,8,8,1,0,414,1181,0.45599999999999996,0.1,3,0.95,0.3408,0.1357,0.5,B
57.0,464,456,9,14,169,5,4,5,0,8,9,11,1,0,435,1181,0.45599999999999996,0.1,3,0.95,0.3408,0.1357,0.5,B
57.0,488,480,12,16,169,7,5,7,0,9,9,13,1,0,455,1181,0.45599999999999996,0.1,3,0.95,0.3408,0.1357,0.5,B
57.0,512,480,7,9,169,7,0,0,0,9,9,14,1,0,536,1337,0.45599999999999996,0.1,3,0.95,0.3408,0.1357,0.5,B
57.0,536,480,8,9,169,7,1,1,1,9,10,15,2,0,560,1337,0.45599999999999996,0.1,3,0.95,0.3408,0.1357,0.5,B
57.0,560,542,11,13,168,8,3,3,1,10,12,17,3,0,584,1337,0.45599999999999996,0.1,3,0.95,0.3408,0.1357,0.5,B
57.0,584,566,9,12,166,9,0,0,1,12,14,18,4,0,666,1489,0.45599999999999996,0.1,3,0.95,0.3408,0.1357,0.5,B
57.0,608,566,7,10,166,7,0,0,0,12,14,18,4,0,690,1489,0.45599999999999996,0.1,3,0.95,0.3408,0.1357,0.5,B
57.0,632,566,4,7,166,4,0,0,0,12,14,18,4,0,714,1489,0.45599999999999996,0.1,3,0.95,0.3408,0.1357,0.5,B
57.0,656,566,4,7,166,4,0,0,0,12,14,18,4,0,796,1641,0.45599999999999996,0.1,3,0.95,0.3408,0.1357,0.5,B
57.0,680,666,3,7,164,3,0,0,0,14,16,18,4,0,814,1641,0.45599999999999996,0.1,3,0.95,0.3408,0.1357,0.5,B
57.0,704,666,3,7,164,3,0,0,0,14,16,18,4,0,834,1641,0.45599999999999996,0.1,3,0.95,0.3408,0.1357,0.5,B
57.0,728,666,2,6,164,2,0,0,0,14,16,18,4,0,912,1793,0.45599999999999996,0.1,3,0.95,0.3408,0.1357,0.5,B
57.0,752,666,2,5,164,2,0,0,0,14,16,18,4,0,931,1793,0.45599999999999996,0.1,3,0.95,0.3408,0.1357,0.5,B
57.0,776,666,3,5,164,3,0,0,0,14,16,18,4,0,954,1793,0.45599999999999996,0.1,3,0.95,0.3408,0.1357,0.5,B
57.0,800,666,3,4,164,3,0,0,0,14,16,18,4,0,1034,1945,0.45599999999999996,0.1,3,0.95,0.3408,0.1357,0.5,B
57.0,824,666,4,5,164,3,1,1,0,14,16,19,4,0,1055,1945,0.45599999999999996,0.1,3,0.95,0.3408,0.1357,0.5,B
57.0,848,666,2,3,164,1,1,1,0,14,16,19,4,0,1069,1945,0.45599999999999996,0.1,3,0.95,0.3408,0.1357,0.5,B
57.0,872,666,2,3,164,2,0,0,0,14,17,20,4,0,1144,2095,0.45599999999999996,0.1,3,0.95,0.3408,0.1357,0.5,B
57.0,896,890,4,5,163,3,1,1,0,15,18,21,4,0,1162,2095,0.45599999999999996,0.1,3,0.95,0.3408,0.1357,0.5,B
57.0,920,890,4,5,163,2,2,2,0,15,18,22,4,0,1177,2095,0.45599999999999996,0.1,3,0.95,0.3408,0.1357,0.5,B
57.0,944,890,2,3,163,2,0,0,0,15,18,23,4,0,1252,2242,0.45599999999999996,0.1,3,0.95,0.3408,0.1357,0.5,B
