seed,cycle,LastInfection,I,E,S_r,I_r,I_s,E_s,H,Cumulative_I,Cumulative_I_r,Cumulative_I_s,Cumulative_H,D,Tests_r,Tests_s,GlobalShedding_p,Introduction_p,TestingFreq,Test_sensitivity,PPE_OR,Vaccination_OR_S,vaccination_dist,VaccineEff
93.0,8,0,0,0,174,0,0,0,0,0,0,0,0,0,58,170,0.38,0.1,7,0.95,0.0722,0.0493,0.7,Equal
93.0,32,0,1,1,173,1,0,0,1,0,0,0,1,0,58,170,0.38,0.1,7,0.95,0.0722,0.0493,0.7,Equal
93.0,56,0,1,1,173,1,0,0,1,0,0,0,1,0,58,170,0.38,0.1,7,0.95,0.0722,0.0493,0.7,Equal
93.0,80,0,1,1,173,1,0,0,1,0,0,0,1,0,58,170,0.38,0.1,7,0.95,0.0722,0.0493,0.7,Equal
93.0,104,0,1,1,173,1,0,0,1,0,0,0,1,0,58,170,0.38,0.1,7,0.95,0.0722,0.0493,0.7,Equal
93.0,128,0,1,1,173,1,0,0,1,0,0,0,1,0,58,170,0.38,0.1,7,0.95,0.0722,0.0493,0.7,Equal
93.0,152,0,1,1,173,1,0,0,0,0,0,0,1,0,58,170,0.38,0.1,7,0.95,0.0722,0.0493,0.7,Equal
93.0,176,0,1,1,173,1,0,0,0,0,0,0,1,0,116,340,0.38,0.1,7,0.95,0.0722,0.0493,0.7,Equal
93.0,200,0,2,2,173,1,1,1,0,0,0,1,1,0,116,340,0.38,0.1,7,0.95,0.0722,0.0493,0.7,Equal
93.0,224,0,1,1,173,0,1,1,0,0,0,1,1,0,116,340,0.38,0.1,7,0.95,0.0722,0.0493,0.7,Equal
93.0,248,0,1,1,173,0,1,1,0,0,0,1,1,0,116,340,0.38,0.1,7,0.95,0.0722,0.0493,0.7,Equal
93.0,272,0,1,1,173,0,1,1,0,0,0,1,1,0,116,340,0.38,0.1,7,0.95,0.0722,0.0493,0.7,Equal
93.0,296,0,1,1,173,0,1,1,0,0,0,1,1,0,116,340,0.38,0.1,7,0.95,0.0722,0.0493,0.7,Equal
93.0,320,0,1,1,173,0,1,1,0,0,0,1,1,0,116,340,0.38,0.1,7,0.95,0.0722,0.0493,0.7,Equal
93.0,344,0,0,0,173,0,0,0,0,0,0,1,1,0,174,509,0.38,0.1,7,0.95,0.0722,0.0493,0.7,Equal
93.0,368,0,0,0,173,0,0,0,0,0,0,1,1,0,174,509,0.38,0.1,7,0.95,0.0722,0.0493,0.7,Equal
93.0,392,0,0,0,173,0,0,0,0,0,0,1,1,0,174,509,0.38,0.1,7,0.95,0.0722,0.0493,0.7,Equal
93.0,416,0,0,0,173,0,0,0,0,0,0,1,1,0,174,509,0.38,0.1,7,0.95,0.0722,0.0493,0.7,Equal
93.0,440,0,0,0,173,0,0,0,0,0,0,1,1,0,174,509,0.38,0.1,7,0.95,0.0722,0.0493,0.7,Equal
93.0,464,0,0,0,173,0,0,0,0,0,0,1,1,0,174,509,0.38,0.1,7,0.95,0.0722,0.0493,0.7,Equal
